Model,N,log_GDPpc_coef,log_GDPpc_se,log_GDPpc_pval,log_GDPpc2_coef,log_GDPpc2_se,log_GDPpc2_pval,log_GDPpc3_coef,log_GDPpc3_se,log_GDPpc3_pval
Linear,879,-0.0032625681908841795,0.0029148537755322554,0.2645243356959188,,,,,,
Quadratic,879,0.05579821466561743,0.022769786007551154,0.015231089872683512,-0.0034775654809240174,0.0012947009874771582,0.007915718023428386,,,
Cubic,879,0.29311209752395123,0.0779787039338637,0.00023124375619576476,-0.03196940917275048,0.008958797225408623,0.0004615418732953902,0.0011223694186878255,0.00034152438469630623,0.001222599761270704
