Model,N,log_GDPpc_coef,log_GDPpc_se,log_GDPpc_pval,log_GDPpc2_coef,log_GDPpc2_se,log_GDPpc2_pval,log_GDPpc3_coef,log_GDPpc3_se,log_GDPpc3_pval
Linear,880,-0.010826359893705485,0.0017021893995624764,1.6306751504657768e-09,,,,,,
Quadratic,880,0.014845666884669578,0.019213661274660673,0.4407414429407299,-0.0014770745886599752,0.0010884849466055477,0.1764897668308596,,,
Cubic,880,0.24054827140316465,0.12999174683225204,0.06589122878759923,-0.027898856286234747,0.015323209785526686,0.07032350942210353,0.001015637525738402,0.0005928095858502431,0.08839586178605341
