Model,N,lnGDPpc_coef,lnGDPpc_se,lnGDPpc_pval,lnGDPpc2_coef,lnGDPpc2_se,lnGDPpc2_pval,lnGDPpc3_coef,lnGDPpc3_se,lnGDPpc3_pval,rents_coef,rents_se,rents_pval,land_coef,land_se,land_pval,trade_coef,trade_se,trade_pval,fdi_coef,fdi_se,fdi_pval,gasoline_coef,gasoline_se,gasoline_pval,areaXgasoline_coef,areaXgasoline_se,areaXgasoline_pval,aid_coef,aid_se,aid_pval,school_coef,school_se,school_pval,ethnic_gini_coef,ethnic_gini_se,ethnic_gini_pval
Resources,857,0.34977119069869483,0.07542830064798109,6.889176905611194e-06,-0.03800282943399904,0.008693032288341191,2.1107458023195136e-05,0.0013272177982106125,0.00033142745163808465,9.170607339115122e-05,0.018288701030515515,0.006779166627978047,0.00766350020395401,-0.052872952507011704,0.014192258731735954,0.0002628114227580802,,,,,,,,,,,,,,,,,,,,,
Trade,817,0.2053992010913356,0.08059347778418534,0.011695853001780554,-0.02221265450640847,0.009261939160329198,0.01754895850101401,0.0007662101292035011,0.0003534907554549808,0.03157543496332238,,,,,,,0.0050845053004416685,0.001858034218481789,0.006865732931328861,0.009407006628342058,0.007255579279585326,0.1965431523257266,,,,,,,,,,,,,,,
Mobility,672,0.17109153437371216,0.07812586953946941,0.030003447019878893,-0.0186417164448719,0.00878208812724339,0.035347577123924445,0.0006547117272289079,0.00032927320312443355,0.04851072272060719,,,,,,,,,,,,,0.0005752572446004095,0.002081986210678121,0.7826793990226681,0.0060053359971114365,0.0030275998516822106,0.04905199104349345,,,,,,,,,
Aid/Education,585,0.22637401201171442,0.10999381356932846,0.041425882503204337,-0.02322414843784169,0.013548698199566415,0.08870330427399398,0.0007446372399115769,0.0005527834536503596,0.18011909312192387,,,,,,,,,,,,,,,,,,,0.01524254169569789,0.006851362926412381,0.027687281364330962,-0.014065357749312096,0.007217424006081353,0.05330406886274042,,,
Ethnicity,844,0.1492439617808428,0.05893674394445546,0.012233024358188294,-0.015262726811815407,0.006854671880444353,0.02727885361603355,0.0004965709065939231,0.00026604654895787875,0.0636862508003686,,,,,,,,,,,,,,,,,,,,,,,,,0.07089800769520435,0.01646984069766283,2.809227906963585e-05
