sale_month,sale_year,cpi_value,correction_term_dec_2004,geo_code,parcel,amt_Price,sale_date,year_built,HEATED,BATHS,BEDROOMS,neighborhood,distance,srn,offender_address_date,building_grade,offender,streetname,BQM1,BQM2,AIRCOND,HEIGHT,WALL,AGE,NEW,orig_distance,close_offender,post_move,close_post_move,neighbor_year,CNTLBQM1_2,CNTLBQM1_3,CNTLBQM1_4,CNTLBQM1_5,CNTLBQM1_6,CNTLWALL_2,CNTLWALL_3,CNTLWALL_4,CNTLWALL_5,CNTLWALL_6,CNTLWALL_7,CNTLWALL_8,CNTLWALL_9,CNTLWALL_10,CNTLHEIGHT_2,CNTLHEIGHT_3,CNTLHEIGHT_4,CNTLHEIGHT_5,CNTLHEIGHT_6,log_price,dist_post,post,srn_year,offdays
10,2004,183.6999969482422,1.0451823472976685,371190064006,00324210,271747.4102973938,2004-10-29,1901,1891,2,3,DAVIDSON / CORNELIUS,0.2544761101404826,009085S5,2003-04-15,b03,1, CATAWBA AV,2,3,1,1,WOOD ON SHTG,30,0,0.7634283304214478,0,1,0,1770,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.512628555297852,0,Post,009085S5-2004,563
12,2004,183.3000030517578,1.0474631786346436,371190064006,00324211,246153.84697914124,2004-12-15,1926,1449,2,3,DAVIDSON / CORNELIUS,0.23761598269144693,009085S5,2003-04-15,b01,1, CATAWBA AV,2,1,1,1,"ALUM,VINYL",30,0,0.7128479480743408,0,1,0,1770,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.413711547851562,0,Post,009085S5-2004,610
9,2003,178.3000030517578,1.0768368244171143,371190064001,00325201,22613.5733127594,2003-09-22,1946,824,1,2,DAVIDSON / CORNELIUS,0.03995562344789505,009085S5,2003-04-15,b01,1, POTTS ST,2,1,0,1,WOOD ON SHTG,30,0,0.11986687034368515,1,1,1,1769,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.026305198669434,0.3995562344789505,Post,009085S5-2003,160
2,2004,179.10000610351562,1.0720268487930298,371190064001,00325201,37520.93970775604,2004-02-11,1946,824,1,2,DAVIDSON / CORNELIUS,0.03995562344789505,009085S5,2003-04-15,b01,1, POTTS ST,2,1,0,1,WOOD ON SHTG,30,0,0.11986687034368515,1,1,1,1770,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.532654762268066,0.3995562344789505,Post,009085S5-2004,302
6,2002,173.5,1.1066282987594604,371190064001,00325207,78017.29506254196,2002-06-27,1971,875,1,2,DAVIDSON / CORNELIUS,0.12176870306332906,009085S5,2003-04-15,b03,1, GAMBLE ST,2,3,0,1,FACE BRICK,30,0,0.3653061091899872,0,0,0,1768,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.26468563079834,0,Pre,009085S5-2002,-292
9,2003,178.3000030517578,1.0768368244171143,371190064001,00325209,93684.80372428894,2003-09-29,2003,1088,1,3,DAVIDSON / CORNELIUS,0.0994427998860677,009085S5,2003-04-15,b02,1, CRANE ST,2,2,1,1,"ALUM,VINYL",0,1,0.2983283996582031,1,1,1,1769,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.447690963745117,0.994427998860677,Post,009085S5-2003,167
6,2003,177.1999969482422,1.0835214853286743,371190064001,00325212,17878.104507923126,2003-06-17,1906,1205,1,3,DAVIDSON / CORNELIUS,0.06520468493302663,009085S5,2003-04-15,a03,1, CRANE ST,1,3,0,1,"ALUM,VINYL",30,0,0.1956140547990799,1,1,1,1769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.791332244873047,0.6520468493302662,Post,009085S5-2003,63
11,2003,177.5,1.0816901922225952,371190064001,00325212,35695.77634334564,2003-11-10,1906,1205,1,3,DAVIDSON / CORNELIUS,0.06520468493302663,009085S5,2003-04-15,a03,1, CRANE ST,1,3,0,1,"ALUM,VINYL",30,0,0.1956140547990799,1,1,1,1769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4827880859375,0.6520468493302662,Post,009085S5-2003,209
7,2004,182.60000610351562,1.051478624343872,371190064001,00325414,370120.47576904297,2004-07-21,1916,778,1,2,DAVIDSON / CORNELIUS,0.24306639035542807,009085S5,2003-04-15,a03,1, DEPOT ST,1,3,0,1,WOOD ON SHTG,30,0,0.7291991710662842,0,1,0,1770,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.82158374786377,0,Post,009085S5-2004,463
1,2002,170.60000610351562,1.1254396438598633,371190064005,00515416,187948.42052459717,2002-01-18,1998,1481,2,3,CORNELIUS,0.2812666694323222,006943S11,2001-12-27,b05,1, TOWNWOOD DR,2,5,1,1,"ALUM,VINYL",4,0,0.8438000082969666,0,1,0,1515,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.143922805786133,0,Post,006943S11-2002,22
