="Descriptive statistics: dynamic panel dataset"
="",="N",="Mean",="SD",="Min",="Median",="Max"
="lnGDPpercapita",="1663",="8.769",="1.205",="5.635",="8.809",="12.703"
="War",="1663",="0.082",="0.189",="0.000",="0.000",="1.000"
="Coup",="1663",="0.091",="0.191",="0.000",="0.000",="1.000"
="EconFreeLag",="1349",="5.762",="1.316",="1.820",="5.780",="9.235"
="PolitFreeLag",="1168",="57.345",="31.637",="0.020",="58.333",="100.000"
