model,mname,sswar,sswar_se,sscoup,sscoup_se,sswar_lo,sswar_hi,sscoup_lo,sscoup_hi
1,Model 1,-.35285124,.078720443,-.052133676,.035626024,-.50714332,-.19855918,-.12196068,.017693331
2,Model 2,-.27065128,.074142396,-.061335087,.036560532,-.41597039,-.12533218,-.13299373,.010323555
3,Model 3,-.22428195,.075056702,-.097004905,.045765832,-.37139308,-.077170819,-.18670593,-.0073038745
4,Model 4,-.16586904,.075907208,-.095742278,.044036195,-.31464717,-.017090915,-.18205322,-.0094313361
