shortnam,avelf,lat_abst,temp1,temp2,temp3,temp4,temp5,humid1,humid2,humid3,humid4,steplow,deslow,stepmid,desmid,drystep,drywint,edes1975,avexpr,logpgp95,landlock,goldm,iron,silv,zinc,oilres,logem4,baseco
MYS,.6103704,.025555555,28,35,37,18,21,95,97,58,66,0,0,0,0,0,0,0,7.9545455,8.8942585,0,0,0,0,0,192000,2.8735647,1
NER,.73291427,.17777778,29,38,46,8,19,26,91,11,68,0,1,0,0,0,0,0,5,6.7334018,1,0,0,0,0,0,5.9914646,1
NGA,.856709,.11111111,28,34,40,16,21,81,87,65,80,1,0,0,0,1,0,0,5.5454545,6.8134446,0,0,0,0,0,168000,7.6029005,1
NIC,.099179566,.14444445,27,31,34,20,23,80,92,44,70,0,0,0,0,0,0,20,5.2272725,7.544332,0,0,0,0,0,0,5.0955892,1
NZL,.14756992,.45555556,15,19,31,-2,5,73,81,67,78,0,0,0,0,0,0,91.699997,9.727273,9.7561474,0,0,0,0,0,48300,2.1459312,1
PAK,.62155986,.33333334,22,24,48,-4,17,19,54,19,54,1,1,0,0,0,0,0,6.0454545,7.3524413,0,0,0,0,0,3220,3.6106477,1
PAN,.19083333,.1,27,34,36,17,21,81,91,78,92,0,0,0,0,0,0,20,5.909091,8.8363743,0,0,0,0,0,0,5.0955892,1
PER,.43159091,.11111111,22,26,34,9,16,92,95,64,80,0,1,0,0,0,0,30.000002,5.7727275,8.3961544,0,0,0,9,5,16600,4.2626801,1
PRY,.41111112,.25555557,22,37,43,-2,12,73,89,48,62,0,0,0,0,0,0,25,6.9545455,8.2079468,1,0,0,0,0,0,4.3579903,1
SDN,.51218003,.16666667,29,40,48,5,19,18,67,10,41,0,1,0,0,1,0,0,4,7.3065314,0,0,0,0,0,10900,4.4796071,1
SEN,.7788682,.15555556,28,35,43,12,21,70,88,45,74,0,1,0,0,1,0,0,6,7.4024515,0,0,0,0,0,0,5.1038828,1
SGP,.3215287,.013555556,28,33,36,19,21,76,82,70,78,0,0,0,0,0,0,0,9.318182,10.146434,0,0,0,0,0,0,2.8735647,1
SLE,.81295663,.092222221,25,31,33,13,20,73,83,70,79,1,0,0,0,0,0,0,5.818182,6.253829,0,0,0,0,0,0,6.1800165,1
SLV,.051428571,.15000001,9,20,42,-25,8,71,85,46,76,0,0,0,0,0,0,20,5,7.9480319,0,0,0,0,0,0,4.3579903,1
TGO,.72848684,.088888891,27,32,38,15,21,95,97,61,77,1,0,0,0,1,0,0,6.909091,7.2225661,0,0,0,0,0,0,6.5042882,1
TTO,.23126984,.12222222,26,35,38,11,16,83,89,61,76,0,0,0,0,0,0,40,7.4545455,8.7687302,0,0,0,0,0,442000,4.4426513,1
TUN,.070252195,.37777779,24,25,48,-1,11,72,86,40,64,1,0,0,0,0,0,0,6.4545455,8.4826021,0,0,0,0,0,198000,4.1431346,1
TZA,.89024693,.06666667,22,31,36,8,16,70,84,36,56,0,0,0,0,0,0,0,6.6363635,6.253829,0,0,0,0,0,0,5.6347895,1
UGA,.83579069,.011111111,24,29,36,12,15,78,89,54,72,0,0,0,0,1,0,0,4.4545455,6.9660244,1,0,0,0,0,0,5.6347895,1
URY,.06666667,.36666667,20,26,43,-4,8,73,89,52,69,0,0,0,0,0,0,90,7,9.0312138,0,0,0,0,0,0,4.2626801,1
USA,.20903142,.42222223,27,32,37,15,21,62,70,59,68,0,0,0,0,0,0,83.600006,10,10.21574,0,11,6,11,13,95700,2.7080503,1
VEN,.052499998,.088888891,20,28,33,7,12,78,84,60,63,1,1,0,0,0,0,20,7.1363635,9.0710783,0,0,2,0,0,3040000,4.3579903,1
VNM,.11764706,.17777778,25,33,43,6,22,74,83,67,76,0,0,0,0,0,0,0,6.409091,7.2793188,0,0,0,0,0,7140,4.9416423,1
ZAF,.83098179,.32222223,19,29,39,-2,7,71,91,54,67,1,0,0,0,0,1,16,6.8636365,8.885994,0,47,4,0,2,0,2.74084,1
ZAR,.87225288,0,25,32,36,14,19,88,95,61,73,0,0,0,0,0,0,0,3.5,6.8669333,0,0,0,0,3,4540,5.480639,1
