Spec,RHS,b,se,p,N,R2
B.c1,euro1900,5.491,0.645,0.0,70,0.456
B.c2,euro1900,5.385,0.945,0.0,70,0.456
B.c3,logem4,-0.841,0.202,0.0001,71,0.26
B.c4,logem4,-0.66,0.193,0.0011,71,0.312
B.c5,euro1900,8.566,0.931,0.0,67,0.565
B.c6,euro1900,8.056,1.349,0.0,67,0.568
B.c7,logem4,-1.221,0.324,0.0004,68,0.278
B.c8,logem4,-0.877,0.26,0.0013,68,0.372
B.c9,logem4,-0.112,0.03,0.0004,73,0.305
B.c10,logem4,-0.071,0.021,0.0013,73,0.467
