Spec,avexpr_b,avexpr_se,avexpr_p,first_stage_F,N,R2
c1: temp+humid,0.837,0.165,0.0,21.5,64,
c2: temp+humid+lat,0.835,0.179,0.0,16.9,64,
c3: edes1975,0.96,0.294,0.0011,6.58,64,
c4: edes1975+lat,0.991,0.323,0.0022,5.61,64,
c5: soil/resources,1.259,0.543,0.0205,3.63,64,
c6: soil/resources+lat,1.358,0.733,0.0641,2.27,64,
c7: avelf,0.738,0.14,0.0,15.73,64,
c8: avelf+lat,0.787,0.177,0.0,11.01,64,
c9: all,0.713,0.147,0.0,9.34,64,
