Country_NAME,Country_ISO,year,GDP_pc_Country,GINIW_pred_GDP_pc,COVW_pred_GDP_pc,GE_1W_pred_GDP_pc,GE_0W_pred_GDP_pc,GE_m1W_pred_GDP_pc
Afghanistan,AFG,2002,937.48602294921875,0.09409938752651215,0.17773327231407166,0.015025576576590538,0.014425262808799744,0.013971389271318913
Afghanistan,AFG,2003,976.4803466796875,0.09529060125350952,0.18073105812072754,0.01548466831445694,0.01483129058033228,0.014344796538352966
Afghanistan,AFG,2004,949.70745849609375,0.10097218304872513,0.18585112690925598,0.01655324548482895,0.016046002507209778,0.015725472941994667
Afghanistan,AFG,2005,1020.0728149414062,0.10243120044469833,0.18795521557331085,0.01696942187845707,0.01649765856564045,0.016225820407271385
Afghanistan,AFG,2006,1044.3646240234375,0.10760769993066788,0.1986784189939499,0.018882883712649345,0.01829683780670166,0.017947500571608543
Afghanistan,AFG,2007,1155.495849609375,0.10661908984184265,0.19513721764087677,0.018294088542461395,0.017795482650399208,0.017518173903226852
Afghanistan,AFG,2008,1166.977783203125,0.11255902796983719,0.21008199453353882,0.020921705290675163,0.02011709101498127,0.01960769109427929
Afghanistan,AFG,2009,1377.828857421875,0.113570936024189,0.212164506316185,0.021311147138476372,0.020474575459957123,0.01994861289858818
Afghanistan,AFG,2010,1457.7435302734375,0.11300715059041977,0.20805324614048004,0.020741987973451614,0.02018233947455883,0.01993182674050331
Afghanistan,AFG,2011,1509.255126953125,0.11396634578704834,0.2086552083492279,0.02088494598865509,0.020337821915745735,0.02009517326951027
Afghanistan,AFG,2012,1685.4722900390625,0.1176205649971962,0.21701325476169586,0.022456198930740356,0.021763058379292488,0.021425742655992508
Angola,AGO,1992,3309.290283203125,0.11386417597532272,0.27298998832702637,0.03266159072518349,0.029189327731728554,0.026563622057437897
Angola,AGO,1993,2374.611083984375,0.11376142501831055,0.2794252932071686,0.03400346264243126,0.030223937705159187,0.027379343286156654
Angola,AGO,1994,2376.68017578125,0.11351936310529709,0.2734966576099396,0.032632976770401,0.029053490608930588,0.02636011503636837
Angola,AGO,1995,2545.492431640625,0.11919750273227692,0.2869287133216858,0.03578890860080719,0.03179815784096718,0.028830578550696373
Angola,AGO,1996,2751.70849609375,0.12133724242448807,0.2825927734375,0.03486365079879761,0.031095780432224274,0.028293605893850327
Angola,AGO,1997,2890.30322265625,0.11614339798688889,0.2756783664226532,0.033242207020521164,0.029669437557458878,0.02698187157511711
Angola,AGO,1998,3005.644287109375,0.120271697640419,0.28412798047065735,0.03520036116242409,0.03135112673044205,0.028478072956204414
Angola,AGO,1999,3017.336181640625,0.12242694199085236,0.29297855496406555,0.037281446158885956,0.03311190754175186,0.03002278320491314
