code_Coutry_Region,Country_ISO,year,Latitude,Longitude,log_GDP_pc_Region,log_Light_ppix_Region,satyear_1,satyear_2,satyear_3,satyear_4,satyear_5,satyear_6,satyear_7
816,NOR,1995,60.016629,11.164506,10.191658973693848,3.057222604751587,0,0,1,0,0,0,0
816,NOR,2010,60.016629,11.164506,10.797650337219238,3.306654453277588,0,0,0,0,0,0,0
816,NOR,2000,60.016629,11.164506,10.536186218261719,2.817673683166504,0,0,0,0,1,0,0
816,NOR,2005,60.016629,11.164506,10.697572708129883,2.626830577850342,0,0,0,0,0,1,0
560,JPN,2000,39.748679,140.408228,10.065533638000488,2.112361431121826,0,0,0,0,1,0,0
560,JPN,2005,39.748679,140.408228,10.098785400390625,2.035214424133301,0,0,0,0,0,1,0
560,JPN,2009,39.748679,140.408228,10.177984237670898,2.181093215942383,0,0,0,0,0,0,1
560,JPN,1995,39.748679,140.408228,10.006656646728516,2.056666851043701,0,0,1,0,0,0,0
618,KAZ,2005,51.757297,69.986152,9.838855743408203,-0.8071708083152771,0,0,0,0,0,1,0
618,KAZ,2010,51.757297,69.986152,10.003617286682129,0.08443257957696915,0,0,0,0,0,0,0
618,KAZ,2000,51.757297,69.986152,9.086457252502441,-0.7714424133300781,0,0,0,0,1,0,0
618,KAZ,1995,51.757297,69.986152,8.587836265563965,-0.44486525654792786,0,0,1,0,0,0,0
619,KAZ,2010,48.585794,58.57339,9.904376029968262,-0.5927359461784363,0,0,0,0,0,0,0
619,KAZ,1995,48.585794,58.57339,8.983208656311035,-1.203048586845398,0,0,1,0,0,0,0
619,KAZ,2005,48.585794,58.57339,9.805695533752441,-0.5151626467704773,0,0,0,0,0,1,0
619,KAZ,2000,48.585794,58.57339,9.067765235900879,-1.074759840965271,0,0,0,0,1,0,0
1384,USA,2005,32.794962,-86.828729,10.523026466369629,1.9130483865737915,0,0,0,0,0,1,0
1384,USA,2000,32.794962,-86.828729,10.390680313110352,2.1159205436706543,0,0,0,0,1,0,0
1384,USA,2010,32.794962,-86.828729,10.515551567077637,2.260920763015747,0,0,0,0,0,0,0
1384,USA,1995,32.794962,-86.828729,10.293968200683594,2.117081642150879,0,0,1,0,0,0,0
111,BRA,2000,-9.513023,-36.625534,8.239953994750977,1.4371440410614014,0,0,0,0,1,0,0
111,BRA,2010,-9.513023,-36.625534,8.498297691345215,2.070178270339966,0,0,0,0,0,0,0
111,BRA,2005,-9.513023,-36.625534,8.316877365112305,1.3201441764831543,0,0,0,0,0,1,0
111,BRA,1995,-9.513023,-36.625534,8.141020774841309,1.3325138092041016,0,0,1,0,0,0,0
1385,USA,1995,64.242925,-152.218853,10.570463180541992,-1.9178922176361084,0,0,1,0,0,0,0
1385,USA,2000,64.242925,-152.218853,10.627827644348145,-1.9668008089065552,0,0,0,0,1,0,0
1385,USA,2010,64.242925,-152.218853,10.793356895446777,-1.4327691793441772,0,0,0,0,0,0,0
1385,USA,2005,64.242925,-152.218853,10.741028785705566,-1.7771925926208496,0,0,0,0,0,1,0
916,ROU,2005,46.172319,23.48729,9.113070487976074,0.9151065945625305,0,0,0,0,0,1,0
916,ROU,2010,46.172319,23.48729,9.660684585571289,1.613515853881836,0,0,0,0,0,0,0
916,ROU,1995,46.172319,23.48729,8.759527206420898,0.840086817741394,0,0,1,0,0,0,0
916,ROU,2000,46.172319,23.48729,8.68422794342041,1.1092604398727417,0,0,0,0,1,0,0
1084,ESP,2000,38.825522,-1.980333,9.799646377563477,1.0056920051574707,0,0,0,0,1,0,0
1084,ESP,2005,38.825522,-1.980333,9.942893981933594,0.720039427280426,0,0,0,0,0,1,0
1084,ESP,1995,38.825522,-1.980333,9.605177879333496,0.920578122138977,0,0,1,0,0,0,0
1084,ESP,2010,38.825522,-1.980333,10.059988975524902,1.5239626169204712,0,0,0,0,0,0,0
158,CAN,2010,55.168468,-114.510976,10.791742324829102,1.1158608198165894,0,0,0,0,0,0,0
158,CAN,2005,55.168468,-114.510976,10.780393600463867,0.4295794665813446,0,0,0,0,0,1,0
158,CAN,1995,55.168468,-114.510976,10.558700561523438,1.0201506614685059,0,0,1,0,0,0,0
158,CAN,2000,55.168468,-114.510976,10.672003746032715,0.7526587247848511,0,0,0,0,1,0,0
911,PRT,2005,38.490788,-8.015023,9.928644180297852,1.4403823614120483,0,0,0,0,0,1,0
911,PRT,2010,38.490788,-8.015023,10.043633460998535,1.9632059335708618,0,0,0,0,0,0,0
911,PRT,1995,38.490788,-8.015023,9.556599617004395,1.078124761581421,0,0,1,0,0,0,0
911,PRT,2000,38.490788,-8.015023,9.831092834472656,1.3153547048568726,0,0,0,0,1,0,0
295,EGY,1992,30.839095,29.800822,8.677802085876465,2.6948680877685547,1,0,0,0,0,0,0
295,EGY,1998,30.839095,29.800822,9.150699615478516,2.9606733322143555,0,0,0,1,0,0,0
295,EGY,2007,30.839095,29.800822,9.099982261657715,3.0759215354919434,0,0,0,0,0,1,0
912,PRT,2000,37.243743,-8.131631,9.99858283996582,2.316250801086426,0,0,0,0,1,0,0
912,PRT,2005,37.243743,-8.131631,10.129356384277344,2.453923225402832,0,0,0,0,0,1,0
912,PRT,1995,37.243743,-8.131631,9.749517440795898,2.217374324798584,0,0,1,0,0,0,0
912,PRT,2010,37.243743,-8.131631,10.155723571777344,2.8249614238739014,0,0,0,0,0,0,0
1085,ESP,2010,38.478788,-0.568252,10.062627792358398,3.4866623878479004,0,0,0,0,0,0,0
1085,ESP,2005,38.478788,-0.568252,10.090365409851074,3.212790012359619,0,0,0,0,0,1,0
1085,ESP,2000,38.478788,-0.568252,9.97887134552002,3.1936867237091064,0,0,0,0,1,0,0
1085,ESP,1995,38.478788,-0.568252,9.751642227172852,3.048306941986084,0,0,1,0,0,0,0
