Country_ISO,year,pred_GDP_pc_Region,GDP_pc_Region,Light_Region,Light_Country,Pop_Region,Pop_Country
ARG,2005,10176.8125,30336.15234375,56927.5,2338116,509655.84375,39113340
ARG,1995,8620.44921875,12285.6962890625,70561,2337191,552731.6875,34554276
ARG,2000,9334.619140625,13014.9765625,84419,2622785.5,583603.75,36829596
ARG,2005,9890.4755859375,12756.658203125,78157,2338116,612624,39113340
ARG,1995,8570.3642578125,6679.23046875,54125,2337191,971596.5625,34554276
ARG,2000,9450.607421875,6996.01806640625,77674.5,2622785.5,1094770,36829596
ARG,2005,10034.669921875,7749.7294921875,72102,2338116,1226272.625,39113340
ARG,1995,9100.755859375,7792.150390625,39964,2337191,574078.4375,34554276
ARG,2000,9937.0478515625,8048.98486328125,51403,2622785.5,627889.75,36829596
ARG,2005,10493.8232421875,7358.921875,46710.5,2338116,685240.6875,39113340
ARG,1995,8639.3955078125,13886.08984375,31053,2337191,331150.65625,34554276
ARG,2000,9580.3466796875,13080.0166015625,37733,2622785.5,378277.5625,36829596
ARG,2005,10674.6708984375,14790.369140625,55077.5,2338116,430452.71875,39113340
ARG,1995,8456.7548828125,29993.36328125,105276,2337191,175888.625,34554276
ARG,2000,8685.7822265625,30436.70703125,60891,2622785.5,197555.578125,36829596
ARG,2005,8915.9091796875,40121.5,50199.5,2338116,219791.453125,39113340
ARG,1995,10590.7216796875,12025.630859375,262893,2337191,2906422.25,34554276
ARG,2000,11401.1416015625,12544.7177734375,296629.5,2622785.5,3038382.25,36829596
ARG,2005,12002.5078125,14728.1376953125,256972,2338116,3156729.25,39113340
ARG,1995,8361.5234375,5352.685546875,37708,2337191,741499.4375,34554276
ARG,2000,8944.55859375,5387.61181640625,40200.5,2622785.5,819351.6875,36829596
ARG,2005,9507.44140625,5944.65185546875,37707,2338116,900435.75,39113340
ARG,1995,9580.208984375,32058.912109375,31451,2337191,79517.6640625,34554276
ARG,2000,10029.015625,34238.890625,27151,2622785.5,96803.046875,36829596
ARG,2005,10497.345703125,34039.58203125,21899.5,2338116,117182.3046875,39113340
ARG,1995,10650.4091796875,7082.55517578125,63046,2337191,1243270,34554276
ARG,2000,11518.177734375,7114.81787109375,74532,2622785.5,1358965.875,36829596
ARG,2005,12457.6826171875,7019.203125,64871,2338116,1478308.875,39113340
AUS,1995,32867.23046875,35339.98828125,36870,1941129,299058.6875,17601664
AUS,2000,35962.7890625,40492.26171875,33681.5,1901293,311502.96875,18639590
AUS,2005,40426.109375,43402.578125,31709.5,1653988,321861.9375,19586020
AUS,2010,42931.42578125,49158.93359375,43251,2647748,330837.625,20479944
AUS,1995,23649.005859375,26685.81640625,566981,1941129,6066686,17601664
AUS,2000,26297.21875,30764.544921875,533863.5,1901293,6393770.5,18639590
AUS,2005,29149.67578125,32346.6328125,470458.5,1653988,6684342,19586020
AUS,2010,31369.068359375,34914.80078125,711761,2647748,6951934,20479944
AUS,1995,16903.552734375,29676.150390625,38694,1941129,184613.421875,17601664
AUS,2000,18676.494140625,33983.50390625,35128.5,1901293,199102.953125,18639590
AUS,2005,20004.228515625,37105.69921875,28338,1653988,213001.015625,19586020
AUS,2010,22334.8515625,42844.11328125,45883,2647748,226694.203125,20479944
AUS,1995,21240.703125,23521.4453125,415446,1941129,3190915,17601664
AUS,2000,23889.947265625,27294.419921875,423289.5,1901293,3457821,18639590
AUS,2005,26261.60546875,31673.369140625,367287,1653988,3716944.75,19586020
AUS,2010,28682.07421875,33457.3046875,622397,2647748,3974765,20479944
AUS,1995,20384.306640625,22636.83203125,165639,1941129,1394593.375,17601664
AUS,2000,22848.486328125,25674.978515625,163612,1901293,1431274.25,18639590
AUS,2005,25060.431640625,28115.779296875,134718.5,1653988,1457124,19586020
AUS,2010,26953.490234375,31588.03125,201807,2647748,1475752,20479944
AUS,1995,22897.56640625,20908.076171875,57126,1941129,440712.84375,17601664
