GDLcode,region,country,period,education,health,income,shdi_official,pop,region_country
PRYr105,"Central (Asuncion, Central)",Paraguay,Y2013,0.671,0.837,0.75,0.75,2290.2,"Central (Asuncion, Centra (PRY)"
PRYr105,"Central (Asuncion, Central)",Paraguay,Y2019,0.685,0.852,0.769,0.766,2478.2,"Central (Asuncion, Centra (PRY)"
SURr101,Paramaribo,Suriname,Y2013,0.702,0.768,0.82,0.762,237.7,Paramaribo (SUR)
SURr101,Paramaribo,Suriname,Y2019,0.73,0.773,0.774,0.759,218.8,Paramaribo (SUR)
SURr102,Wanica and Para,Suriname,Y2013,0.641,0.79,0.8,0.74,144.9,Wanica and Para (SUR)
SURr102,Wanica and Para,Suriname,Y2019,0.685,0.795,0.761,0.746,193.1,Wanica and Para (SUR)
SURr103,"Nickerie, Coronie and Saramacca",Suriname,Y2013,0.606,0.816,0.807,0.737,59.1,"Nickerie, Coronie and Sar (SUR)"
SURr103,"Nickerie, Coronie and Saramacca",Suriname,Y2019,0.641,0.818,0.76,0.736,59.9,"Nickerie, Coronie and Sar (SUR)"
SURr104,Commewijne and Marowijne,Suriname,Y2013,0.589,0.809,0.756,0.711,50.1,Commewijne and Marowijne (SUR)
SURr104,Commewijne and Marowijne,Suriname,Y2019,0.635,0.81,0.729,0.721,57.8,Commewijne and Marowijne (SUR)
SURr105,Brokopondo and Sipaliwini,Suriname,Y2013,0.382,0.774,0.602,0.562,55.6,Brokopondo and Sipaliwini (SUR)
SURr105,Brokopondo and Sipaliwini,Suriname,Y2019,0.446,0.822,0.602,0.604,51.9,Brokopondo and Sipaliwini (SUR)
URYr101,Montevideo and Metropolitan area,Uruguay,Y2013,0.777,0.878,0.794,0.815,1709.1,Montevideo and Metropolit (URY)
URYr101,Montevideo and Metropolitan area,Uruguay,Y2019,0.809,0.891,0.802,0.833,1745.5,Montevideo and Metropolit (URY)
URYr102,"Norte (Artigas, Rivera, Cerro Largo and Trienta y Tres)",Uruguay,Y2013,0.657,0.878,0.785,0.768,303.8,"Norte (Artigas, Rivera, C (URY)"
URYr102,"Norte (Artigas, Rivera, Cerro Largo and Trienta y Tres)",Uruguay,Y2019,0.684,0.891,0.794,0.785,310.3,"Norte (Artigas, Rivera, C (URY)"
URYr103,"Costa Este (Canelones, Maldonado and Rocha)",Uruguay,Y2013,0.736,0.878,0.797,0.802,461.1,"Costa Este (Canelones, Ma (URY)"
URYr103,"Costa Este (Canelones, Maldonado and Rocha)",Uruguay,Y2019,0.766,0.891,0.806,0.819,470.9,"Costa Este (Canelones, Ma (URY)"
URYr104,"Litoral Sur (Soriano, Colonia and San Jose)",Uruguay,Y2013,0.653,0.878,0.787,0.767,290.9,"Litoral Sur (Soriano, Col (URY)"
URYr104,"Litoral Sur (Soriano, Colonia and San Jose)",Uruguay,Y2019,0.68,0.891,0.796,0.784,297.1,"Litoral Sur (Soriano, Col (URY)"
URYr105,Centro (Durazno and Tacuarembo),Uruguay,Y2013,0.667,0.878,0.791,0.774,152.5,Centro (Durazno and Tacua (URY)
URYr105,Centro (Durazno and Tacuarembo),Uruguay,Y2019,0.694,0.891,0.8,0.791,155.8,Centro (Durazno and Tacua (URY)
URYr106,"Centro Sur (Flores, Florida and Lavalleja)",Uruguay,Y2013,0.734,0.878,0.789,0.798,172.7,"Centro Sur (Flores, Flori (URY)"
URYr106,"Centro Sur (Flores, Florida and Lavalleja)",Uruguay,Y2019,0.761,0.891,0.798,0.815,176.4,"Centro Sur (Flores, Flori (URY)"
URYr107,"Litoral Norte (Paysandu, Salto and Rio Negro)",Uruguay,Y2013,0.633,0.878,0.789,0.76,299.4,Litoral Norte (Paysandu (URY)
URYr107,"Litoral Norte (Paysandu, Salto and Rio Negro)",Uruguay,Y2019,0.659,0.891,0.797,0.776,305.8,Litoral Norte (Paysandu (URY)
VENr101,Federal District,Venezuela,Y2013,0.809,0.813,0.851,0.824,2380.0,Federal District (VEN)
VENr101,Federal District,Venezuela,Y2019,0.782,0.801,0.692,0.757,2278.7,Federal District (VEN)
VENr102,Amazonas Federal Territory,Venezuela,Y2013,0.748,0.751,0.771,0.756,87.9,Amazonas Federal Territor (VEN)
VENr102,Amazonas Federal Territory,Venezuela,Y2019,0.722,0.739,0.62,0.692,84.1,Amazonas Federal Territor (VEN)
VENr103,Anzoategui,Venezuela,Y2013,0.738,0.835,0.798,0.789,1604.7,Anzoategui (VEN)
VENr103,Anzoategui,Venezuela,Y2019,0.713,0.822,0.645,0.723,1536.4,Anzoategui (VEN)
VENr104,Apure,Venezuela,Y2013,0.605,0.821,0.698,0.703,479.5,Apure (VEN)
VENr104,Apure,Venezuela,Y2019,0.581,0.809,0.556,0.639,459.1,Apure (VEN)
VENr105,Aragua,Venezuela,Y2013,0.762,0.833,0.821,0.805,1885.0,Aragua (VEN)
VENr105,Aragua,Venezuela,Y2019,0.736,0.82,0.665,0.738,1804.8,Aragua (VEN)
VENr106,Barinas,Venezuela,Y2013,0.625,0.81,0.74,0.721,807.7,Barinas (VEN)
VENr106,Barinas,Venezuela,Y2019,0.6,0.798,0.593,0.657,773.3,Barinas (VEN)
VENr107,Bolivar,Venezuela,Y2013,0.74,0.812,0.791,0.78,1555.9,Bolivar (VEN)
VENr107,Bolivar,Venezuela,Y2019,0.716,0.8,0.638,0.715,1489.7,Bolivar (VEN)
VENr108,Carabobo,Venezuela,Y2013,0.758,0.823,0.817,0.799,2485.1,Carabobo (VEN)
VENr108,Carabobo,Venezuela,Y2019,0.733,0.81,0.662,0.733,2379.4,Carabobo (VEN)
VENr109,Cojedes,Venezuela,Y2013,0.695,0.8,0.768,0.753,329.4,Cojedes (VEN)
VENr109,Cojedes,Venezuela,Y2019,0.668,0.788,0.618,0.688,315.4,Cojedes (VEN)
VENr110,Amacuros Delta Federal Territory,Venezuela,Y2013,0.71,0.821,0.758,0.761,121.2,Amacuros Delta Federal Te (VEN)
VENr110,Amacuros Delta Federal Territory,Venezuela,Y2019,0.685,0.808,0.609,0.696,116.1,Amacuros Delta Federal Te (VEN)
VENr111,Falcon,Venezuela,Y2013,0.702,0.824,0.779,0.767,989.7,Falcon (VEN)
VENr111,Falcon,Venezuela,Y2019,0.676,0.811,0.628,0.701,947.6,Falcon (VEN)
VENr112,Guarico,Venezuela,Y2013,0.657,0.821,0.745,0.738,805.9,Guarico (VEN)
VENr112,Guarico,Venezuela,Y2019,0.631,0.808,0.597,0.673,771.6,Guarico (VEN)
VENr113,Lara,Venezuela,Y2013,0.697,0.805,0.77,0.756,1992.5,Lara (VEN)
VENr113,Lara,Venezuela,Y2019,0.671,0.793,0.62,0.691,1907.7,Lara (VEN)
VENr114,Merida,Venezuela,Y2013,0.704,0.807,0.79,0.766,933.7,Merida (VEN)
VENr114,Merida,Venezuela,Y2019,0.676,0.795,0.638,0.7,894.0,Merida (VEN)
VENr115,Miranda,Venezuela,Y2013,0.782,0.815,0.833,0.81,3009.6,Miranda (VEN)
VENr115,Miranda,Venezuela,Y2019,0.757,0.803,0.677,0.744,2881.5,Miranda (VEN)
VENr116,Monagas,Venezuela,Y2013,0.715,0.813,0.778,0.767,929.8,Monagas (VEN)
VENr116,Monagas,Venezuela,Y2019,0.69,0.8,0.627,0.702,890.3,Monagas (VEN)
VENr117,Nueva Esparta,Venezuela,Y2013,0.749,0.823,0.823,0.797,477.4,Nueva Esparta (VEN)
VENr117,Nueva Esparta,Venezuela,Y2019,0.724,0.811,0.667,0.732,457.1,Nueva Esparta (VEN)
VENr118,Portuguesa,Venezuela,Y2013,0.637,0.79,0.743,0.721,937.0,Portuguesa (VEN)
VENr118,Portuguesa,Venezuela,Y2019,0.612,0.778,0.596,0.657,897.1,Portuguesa (VEN)
VENr119,Sucre,Venezuela,Y2013,0.67,0.81,0.764,0.746,1025.2,Sucre (VEN)
VENr119,Sucre,Venezuela,Y2019,0.642,0.798,0.615,0.68,981.5,Sucre (VEN)
VENr120,Tachira,Venezuela,Y2013,0.704,0.825,0.802,0.775,1280.4,Tachira (VEN)
VENr120,Tachira,Venezuela,Y2019,0.677,0.812,0.648,0.709,1225.9,Tachira (VEN)
VENr121,Trujillo,Venezuela,Y2013,0.664,0.818,0.762,0.745,775.9,Trujillo (VEN)
VENr121,Trujillo,Venezuela,Y2019,0.636,0.806,0.613,0.68,742.8,Trujillo (VEN)
VENr122,Yaracuy,Venezuela,Y2013,0.669,0.802,0.761,0.742,654.0,Yaracuy (VEN)
VENr122,Yaracuy,Venezuela,Y2019,0.643,0.79,0.611,0.677,626.2,Yaracuy (VEN)
VENr123,Zulia,Venezuela,Y2013,0.704,0.799,0.785,0.762,3850.1,Zulia (VEN)
VENr123,Zulia,Venezuela,Y2019,0.679,0.787,0.633,0.697,3686.2,Zulia (VEN)
VENr124,Vargas,Venezuela,Y2013,0.738,0.844,0.817,0.798,385.4,Vargas (VEN)
VENr124,Vargas,Venezuela,Y2019,0.713,0.831,0.662,0.732,369.0,Vargas (VEN)
