GDLcode,region,country,period,education,health,income,shdi_official,pop,region_country
BRAr107,Tocantins,Brazil,Y2013,0.654,0.847,0.739,0.742,1487.7,Tocantins (BRA)
BRAr107,Tocantins,Brazil,Y2019,0.678,0.868,0.726,0.753,1561.8,Tocantins (BRA)
BRAr108,Maranhao,Brazil,Y2013,0.611,0.809,0.69,0.698,6861.4,Maranhao (BRA)
BRAr108,Maranhao,Brazil,Y2019,0.632,0.83,0.677,0.708,7203.1,Maranhao (BRA)
BRAr109,Piaui,Brazil,Y2013,0.631,0.788,0.713,0.708,3202.5,Piaui (BRA)
BRAr109,Piaui,Brazil,Y2019,0.653,0.809,0.7,0.718,3362.0,Piaui (BRA)
BRAr110,Ceara,Brazil,Y2013,0.623,0.835,0.736,0.726,9096.9,Ceara (BRA)
BRAr110,Ceara,Brazil,Y2019,0.645,0.857,0.723,0.737,9550.0,Ceara (BRA)
BRAr111,Rio Grande do Norte,Brazil,Y2013,0.655,0.825,0.759,0.743,3309.1,Rio Grande do Norte (BRA)
BRAr111,Rio Grande do Norte,Brazil,Y2019,0.68,0.846,0.746,0.754,3473.9,Rio Grande do Norte (BRA)
BRAr112,Paraiba,Brazil,Y2013,0.632,0.824,0.744,0.729,3990.6,Paraiba (BRA)
BRAr112,Paraiba,Brazil,Y2019,0.654,0.845,0.731,0.739,4189.3,Paraiba (BRA)
BRAr113,Pernambuco,Brazil,Y2013,0.636,0.821,0.743,0.729,9340.1,Pernambuco (BRA)
BRAr113,Pernambuco,Brazil,Y2019,0.659,0.843,0.73,0.74,9805.4,Pernambuco (BRA)
BRAr114,Alagoas,Brazil,Y2013,0.611,0.808,0.731,0.712,3184.4,Alagoas (BRA)
BRAr114,Alagoas,Brazil,Y2019,0.632,0.829,0.718,0.722,3343.0,Alagoas (BRA)
BRAr115,Sergipe,Brazil,Y2013,0.65,0.827,0.752,0.739,2183.2,Sergipe (BRA)
BRAr115,Sergipe,Brazil,Y2019,0.673,0.849,0.739,0.75,2292.0,Sergipe (BRA)
BRAr116,Bahia,Brazil,Y2013,0.639,0.822,0.735,0.728,14782.2,Bahia (BRA)
BRAr116,Bahia,Brazil,Y2019,0.662,0.843,0.721,0.739,15518.5,Bahia (BRA)
BRAr117,Minas Gerais,Brazil,Y2013,0.655,0.846,0.773,0.754,20479.5,Minas Gerais (BRA)
BRAr117,Minas Gerais,Brazil,Y2019,0.68,0.868,0.759,0.765,21499.6,Minas Gerais (BRA)
BRAr118,Espirito Santo,Brazil,Y2013,0.667,0.836,0.774,0.756,3676.9,Espirito Santo (BRA)
BRAr118,Espirito Santo,Brazil,Y2019,0.693,0.857,0.761,0.767,3860.1,Espirito Santo (BRA)
BRAr119,Rio de Janeiro,Brazil,Y2013,0.713,0.865,0.775,0.782,17084.0,Rio de Janeiro (BRA)
BRAr119,Rio de Janeiro,Brazil,Y2019,0.742,0.887,0.762,0.794,17935.0,Rio de Janeiro (BRA)
BRAr120,Sao Paulo,Brazil,Y2013,0.696,0.858,0.79,0.779,43439.8,Sao Paulo (BRA)
BRAr120,Sao Paulo,Brazil,Y2019,0.724,0.88,0.777,0.791,45603.6,Sao Paulo (BRA)
BRAr121,Parana,Brazil,Y2013,0.675,0.843,0.779,0.763,11091.2,Parana (BRA)
BRAr121,Parana,Brazil,Y2019,0.701,0.865,0.765,0.774,11643.6,Parana (BRA)
BRAr122,Santa Catarina,Brazil,Y2013,0.678,0.853,0.782,0.768,6571.9,Santa Catarina (BRA)
BRAr122,Santa Catarina,Brazil,Y2019,0.704,0.875,0.769,0.78,6899.2,Santa Catarina (BRA)
