GDLcode,region,country,SubContinent,shdi2013,shdi2019,healthindex2013,healthindex2019,incindex2013,incindex2019,edindex2013,edindex2019,esch2013,esch2019,msch2013,msch2019,lifexp2013,lifexp2019,gnic2013,gnic2019,lgnic2013,lgnic2019,pop2013,pop2019
ARGr101,City of Buenos Aires,Argentina,South America,0.878000020000000,0.882000030000000,0.857999980000000,0.871999980000000,0.850000020000000,0.832000020000000,0.926000000000000,0.945999980000000,18.000000000000000,18.000000000000000,12.768000000000001,13.382000000000000,75.800003000000004,76.699996999999996,27853.278999999998632,24699.705000000001746,10.234999999999999,10.115000000000000,3269.460999999999785,3481.402000000000044
ARGr102,Rest of Buenos Aires,Argentina,South America,0.824999990000000,0.833999990000000,0.857999980000000,0.871999980000000,0.819999990000000,0.801999990000000,0.796999990000000,0.829999980000000,16.605000000000000,17.187000000000001,10.087000000000000,10.571999999999999,75.800003000000004,76.699996999999996,22715.916000000001077,20192.275000000001455,10.031000000000001,9.913000100000000,16807.741000000001804,17897.291000000001077
ARGr103,"Catamarca, La Rioja, San Juan",Argentina,South America,0.836000030000000,0.846000020000000,0.857999980000000,0.871999980000000,0.828000010000000,0.810000000000000,0.822000030000000,0.856000010000000,17.089001000000000,17.688998999999999,10.430999999999999,10.933000000000000,75.800003000000004,76.699996999999996,23964.354999999999563,21288.643000000000029,10.084000000000000,9.965999600000000,1315.042999999999893,1400.289999999999964
ARGr104,Cordoba,Argentina,South America,0.839999970000000,0.848999980000000,0.857999980000000,0.871999980000000,0.833999990000000,0.816999970000000,0.825999980000000,0.860000010000000,17.261998999999999,17.867999999999999,10.400000000000000,10.900000000000000,75.800003000000004,76.699996999999996,25072.078000000001339,22260.868999999998778,10.130000000000001,10.010999999999999,3379.188999999999851,3598.242999999999938
ARGr105,"Corrientes, Entre Rios, Misiones",Argentina,South America,0.816999970000000,0.825999980000000,0.857999980000000,0.871999980000000,0.820999980000000,0.802999970000000,0.773000000000000,0.805000010000000,16.323999000000001,16.896999000000001,9.597000100000001,10.058000000000000,75.800003000000004,76.699996999999996,22971.912000000000262,20417.145000000000437,10.042000000000000,9.923999800000001,3466.548999999999978,3691.266000000000076
ARGr106,"Chaco, Formosa",Argentina,South America,0.810999990000000,0.819999990000000,0.857999980000000,0.871999980000000,0.787999990000000,0.771000030000000,0.788999970000000,0.820999980000000,17.033000999999999,17.631001000000001,9.472000100000001,9.927000000000000,75.800003000000004,76.699996999999996,18485.969000000000960,16472.057000000000698,9.824999800000001,9.708999600000000,1620.593000000000075,1725.646999999999935
ARGr107,"Chubut, Neuquen, Rio Negro, Santa Cruz, Tierra del Fuego",Argentina,South America,0.842000010000000,0.852000000000000,0.857999980000000,0.871999980000000,0.850000020000000,0.832000020000000,0.818000020000000,0.851000010000000,16.768000000000001,17.356000999999999,10.567000000000000,11.074999999999999,75.800003000000004,76.699996999999996,27772.846000000001368,24629.212999999999738,10.231999999999999,10.112000000000000,2141.376999999999953,2280.190000000000055
ARGr108,"Jujuy, Salta",Argentina,South America,0.829000000000000,0.836000030000000,0.857999980000000,0.871999980000000,0.802999970000000,0.785000030000000,0.825999980000000,0.852000000000000,17.631001000000001,18.000000000000000,10.077000000000000,10.561000000000000,75.800003000000004,76.699996999999996,20359.180000000000291,18120.650000000001455,9.920999500000001,9.805000300000000,1962.858999999999924,2090.099000000000160
ARGr109,"La Pampa, San Luis, Mendoza",Argentina,South America,0.842999990000000,0.852999990000000,0.857999980000000,0.871999980000000,0.846000020000000,0.828000010000000,0.824000000000000,0.857999980000000,17.239000000000001,17.844000000000001,10.358000000000001,10.856000000000000,75.800003000000004,76.699996999999996,27147.484000000000378,24081.074000000000524,10.209000000000000,10.089000000000000,2572.690999999999804,2739.463999999999942
ARGr110,Santa Fe,Argentina,South America,0.851000010000000,0.855000020000000,0.857999980000000,0.871999980000000,0.834999980000000,0.816999970000000,0.857999980000000,0.875999990000000,18.000000000000000,18.000000000000000,10.755000000000001,11.272000000000000,75.800003000000004,76.699996999999996,25235.754000000000815,22404.479999999999563,10.135999999999999,10.016999999999999,3239.074999999999818,3449.045999999999822
ARGr111,"Santiago del Estero, Tucuman",Argentina,South America,0.822000030000000,0.830999970000000,0.857999980000000,0.871999980000000,0.819000010000000,0.801999990000000,0.788999970000000,0.820999980000000,16.385000000000002,16.959999000000000,10.004000000000000,10.484999999999999,75.800003000000004,76.699996999999996,22683.094000000000960,20163.438999999998487,10.029000000000000,9.911999700000001,2428.356999999999971,2585.773000000000138
BOLr101,Chuquisaca,Bolivia,South America,0.657999990000000,0.690000000000000,0.808000030000000,0.839999970000000,0.593999980000000,0.625000000000000,0.592999990000000,0.625000000000000,13.657000000000000,14.259000000000000,6.401000000000000,6.857999800000000,72.518996999999999,74.606003000000001,5117.847200000000157,6265.501000000000204,8.539999999999999,8.743000000000000,650.991999999999962,710.933999999999969
BOLr102,La Paz,Bolivia,South America,0.685000000000000,0.718999980000000,0.750999990000000,0.781000020000000,0.630000000000000,0.661000010000000,0.680999990000000,0.720000030000000,13.930000000000000,14.544000000000000,8.836999900000000,9.468000399999999,68.794998000000007,70.775002000000001,6456.627000000000407,7948.129899999999907,8.772999799999999,8.980999900000000,3106.943999999999960,3393.025999999999840
BOLr103,Cochabamba,Bolivia,South America,0.675000010000000,0.708000000000000,0.742999970000000,0.773000000000000,0.648000000000000,0.680000010000000,0.639000000000000,0.675000010000000,13.535000000000000,14.132000000000000,7.894000100000000,8.458000200000001,68.269997000000004,70.234001000000006,7294.372099999999591,9005.383799999999610,8.895000500000000,9.105999900000000,1958.141000000000076,2138.443000000000211
BOLr104,Oruro,Bolivia,South America,0.693000020000000,0.727000000000000,0.777000010000000,0.808000030000000,0.633000020000000,0.663999970000000,0.676999990000000,0.714999970000000,14.048999999999999,14.669000000000000,8.607000400000000,9.222000100000001,70.518996999999999,72.547996999999995,6590.377000000000407,8116.717800000000352,8.793000200000000,9.001999899999999,589.107999999999947,643.351999999999975
