M,lb,ub,significant
0.0,0.023581437480275573,0.09670942998200593,True
0.25,0.017446734309806464,0.10284413315247504,True
0.5,0.011312031139337354,0.10897883632294417,True
1.0,-0.0009573752016008574,0.12124824266388237,False
1.5,-0.013226781542539076,0.13351764900482058,False
2.0,-0.025496187883477288,0.1457870553457588,False
