former_dis,dist,year,div,yld,pop91,rainm,rainsd,jamuna_m,padma_m,treat,smp1,treatd,mdist,lmdist,lpop91,lrainm,lrainsd,p,ipw1,ipw2,lyld,D_lyld,lpop91_t,lmdist_t,post,sr,lr,treat_post,treat_sr,treat_lr,band,dm_near,sr_near,lr_near,tsr_near,tlr_near,dm_mid,sr_mid,lr_mid,tsr_mid,tlr_mid,dm_far,sr_far,lr_far,tsr_far,tlr_far
3,3,4,5.0,3.0106490326634745,72153270.0,47.839264,47.710064,83865.32,199057.22,1,1.0,0.0,83.86532,0.44410652,18.094303164402454,3.8678467,3.8651423,0.31664484127715026,1.0,1.0,1.102155680986547,0.039052757759384216,72.37721265760982,1.7764261,1,1,0,1.0,1.0,0.0,near,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,5,5.0,3.185203366689109,72153270.0,50.275482,49.454212,83865.32,199057.22,1,1.0,0.0,83.86532,0.44410652,18.094303164402454,3.9175174,3.9010472,0.31664484127715026,1.0,1.0,1.158516138379468,0.05636045739292106,90.47151582201226,2.2205327,1,1,0,1.0,1.0,0.0,near,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,6,5.0,3.5172749315860483,72153270.0,49.30241,50.573868,83865.32,199057.22,1,1.0,0.0,83.86532,0.44410652,18.094303164402454,3.897973,3.923435,0.31664484127715026,1.0,1.0,1.2576865226248015,0.09917038424533353,108.56581898641473,2.664639,1,0,1,1.0,0.0,1.0,near,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,7,5.0,3.813333333333333,72153270.0,43.778664,44.96287,83865.32,199057.22,1,1.0,0.0,83.86532,0.44410652,18.094303164402454,3.7791467,3.8058372,0.31664484127715026,1.0,1.0,1.338503697283542,0.0808171746587405,126.66012215081719,3.1087456,1,0,1,1.0,0.0,1.0,near,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,8,5.0,3.8860000000000006,72153270.0,44.73339,46.704258,83865.32,199057.22,1,1.0,0.0,83.86532,0.44410652,18.094303164402454,3.8007202,3.8438354,0.31664484127715026,1.0,1.0,1.3573803509552484,0.018876653671706434,144.75442531521963,3.5528522,1,0,1,1.0,0.0,1.0,near,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,1,5.0,2.5716386855861484,83540100.0,62.313644,68.661194,212285.6,328841.7,1,1.0,0.0,212.2856,0.5362632,18.24083731406395,4.13218,4.229184,0.5028051661391957,1.0,1.0,0.9445433165639644,,18.24083731406395,0.5362632,0,0,0,0.0,0.0,0.0,far,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,7,2,5.0,2.909346519420065,83540100.0,46.9755,55.458115,212285.6,328841.7,1,1.0,0.0,212.2856,0.5362632,18.24083731406395,3.849626,4.015628,0.5028051661391957,1.0,1.0,1.067928492192008,0.12338517562804363,36.4816746281279,1.0725265,0,0,0,0.0,0.0,0.0,far,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,7,3,5.0,2.580517620646962,83540100.0,52.056156,59.525955,212285.6,328841.7,1,1.0,0.0,212.2856,0.5362632,18.24083731406395,3.952323,4.0864124,0.5028051661391957,1.0,1.0,0.947990006968126,-0.11993848522388206,54.722511942191844,1.6087897,0,0,0,0.0,0.0,0.0,far,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,7,4,5.0,2.7357720454659016,83540100.0,57.060745,59.729324,212285.6,328841.7,1,1.0,0.0,212.2856,0.5362632,18.24083731406395,4.0441165,4.0898232,0.5028051661391957,1.0,1.0,1.0064136795735945,0.058423672605468546,72.9633492562558,2.145053,1,1,0,1.0,1.0,0.0,far,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
7,7,5,5.0,3.0117766907767245,83540100.0,62.54277,66.58178,212285.6,328841.7,1,1.0,0.0,212.2856,0.5362632,18.24083731406395,4.1358504,4.198431,0.5028051661391957,1.0,1.0,1.1025301673407877,0.09611648776719317,91.20418657031975,2.6813161,1,1,0,1.0,1.0,0.0,far,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
