geocode,year,mn,div,dist,pop91,rainm,rainsd,jamuna_m,padma_m,treat,smp1,treatd,mdist,lmdist,lpop91,lrainm,lrainsd,p,ipw1,ipw2,ipw3,ipw4,lmn,D_lmn,lpop91_t,lmdist_t,post,sr,lr,treat_post,treat_sr,treat_lr,band,dm_near,sr_near,lr_near,tsr_near,tlr_near,dm_mid,sr_mid,lr_mid,tsr_mid,tlr_mid,dm_far,sr_far,lr_far,tsr_far,tlr_far
10419,5,1.0233333,1.0,4.0,65850.0,61.612953,61.23772,237144.56,128130.87,0,0.0,0.0,128.13087,4.8608265,11.095134707171427,4.136972,4.1147633,0.4690143042682806,0.8904132097913984,1.0510411012204988,0.8904132097913984,1.0510411012204988,0.7047463,0.0115991235,55.47567353585713,24.304132,1,0,1,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10419,6,1.0,1.0,4.0,65850.0,54.44788,54.332905,237144.56,128130.87,0,0.0,0.0,128.13087,4.8608265,11.095134707171427,4.0154433,3.99513,0.4690143042682806,0.8904132097913984,1.0510411012204988,0.8904132097913984,1.0510411012204988,0.6931472,-0.0115991235,66.57080824302857,29.164959,1,0,1,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10419,7,1.0,1.0,4.0,65850.0,59.28074,61.789078,237144.56,128130.87,0,0.0,0.0,128.13087,4.8608265,11.095134707171427,4.099013,4.123727,0.4690143042682806,0.8904132097913984,1.0510411012204988,0.8904132097913984,1.0510411012204988,0.6931472,0.0,77.66594295019999,34.025787,1,0,1,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10428,1,1.61,1.0,4.0,220400.0,63.399235,62.62426,253781.38,143560.8,0,0.0,0.0,143.56079,4.9737,12.303199356260896,4.1651015,4.1371527,0.5837804601146792,1.4138893316090633,1.4627974249615092,1.4138893316090633,1.4627974249615092,0.9593502,,12.303199356260896,4.9737,0,0,0,0.0,0.0,0.0,far,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10428,2,1.72,1.0,4.0,220400.0,55.90219,55.130154,253781.38,143560.8,0,0.0,0.0,143.56079,4.9737,12.303199356260896,4.0413337,4.009697,0.5837804601146792,1.4138893316090633,1.4627974249615092,1.4138893316090633,1.4627974249615092,1.0006319,0.0412817,24.60639871252179,9.9474,0,0,0,0.0,0.0,0.0,far,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10428,3,1.7075,1.0,4.0,220400.0,59.75582,61.99453,253781.38,143560.8,0,0.0,0.0,143.56079,4.9737,12.303199356260896,4.106863,4.127046,0.5837804601146792,1.4138893316090633,1.4627974249615092,1.4138893316090633,1.4627974249615092,0.9960257,-0.004606247,36.909598068782685,14.921101,1,1,0,0.0,0.0,0.0,far,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
10428,4,1.8,1.0,4.0,220400.0,57.461597,53.454224,253781.38,143560.8,0,0.0,0.0,143.56079,4.9737,12.303199356260896,4.06837,3.9788256,0.5837804601146792,1.4138893316090633,1.4627974249615092,1.4138893316090633,1.4627974249615092,1.0296195,0.033593774,49.21279742504358,19.8948,1,1,0,0.0,0.0,0.0,far,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
10428,5,1.5666667,1.0,4.0,220400.0,61.612953,61.23772,253781.38,143560.8,0,0.0,0.0,143.56079,4.9737,12.303199356260896,4.136972,4.1147633,0.5837804601146792,1.4138893316090633,1.4627974249615092,1.4138893316090633,1.4627974249615092,0.942608,-0.08701146,61.51599678130448,24.8685,1,0,1,0.0,0.0,0.0,far,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
10428,6,1.9866667,1.0,4.0,220400.0,54.44788,54.332905,253781.38,143560.8,0,0.0,0.0,143.56079,4.9737,12.303199356260896,4.0154433,3.99513,0.5837804601146792,1.4138893316090633,1.4627974249615092,1.4138893316090633,1.4627974249615092,1.0941579,0.15154994,73.81919613756537,29.842201,1,0,1,0.0,0.0,0.0,far,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
10428,7,2.04,1.0,4.0,220400.0,59.28074,61.789078,253781.38,143560.8,0,0.0,0.0,143.56079,4.9737,12.303199356260896,4.099013,4.123727,0.5837804601146792,1.4138893316090633,1.4627974249615092,1.4138893316090633,1.4627974249615092,1.1118575,0.0176996,86.12239549382628,34.8159,1,0,1,0.0,0.0,0.0,far,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
