period,label,effect,se,is_post
1,1992-94,-0.008179604227292143,0.01670857302592215,False
2,1995-97,0.0,0.0,False
3,1998-00,0.006827644340782913,0.01792828818777464,True
4,2001-04,0.032830628175424766,0.021723901314650677,True
5,2005-07,0.050110224689790955,0.021623123038139062,True
6,2008-10,0.08308406497182329,0.023797014752628104,True
7,2011-13,0.12787460647788182,0.027053850245232228,True
