geocode,year,div,dist,pop,emp,pop_agr,pop_ind,pop_serv,density,pop91,rainm,rainsd,surban,prop_elec,jamuna_m,padma_m,treat,smp1,treatd,mdist,lmdist,lpop91,lrainm,lrainsd,p,ipw1,ipw2,ipw3,ipw4,ldensity,sind,sserv,sagr,lagr,lpop91_t,lmdist_t,post,sr,lr,treat_post,treat_sr,treat_lr,band,dm_near,sr_near,lr_near,tsr_near,tlr_near,dm_mid,sr_mid,lr_mid,tsr_mid,tlr_mid,dm_far,sr_far,lr_far,tsr_far,tlr_far
10447,2,1.0,4.0,119570.0,26660.0,20460.0,240.0,5960.0,799.63885,108350.0,57.215725,55.70329,0.09233085,0.18809524,230616.36,119056.375,0,0.0,0.0,119.05637,4.7879615,11.593122006964505,4.0468287,4.020039,0.49270136096861133,0.9870177577610694,1.1143394649400618,0.9870177577610694,1.1143394649400618,6.68416,0.00900225056264066,0.22355588897224307,0.7674418604651163,9.926227039505617,23.18624401392901,9.575923,1,1,0,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10447,3,1.0,4.0,118260.0,28200.0,17620.0,2140.0,8440.0,790.8781,108350.0,54.23165,57.499096,0.10722138,0.33954155,230616.36,119056.375,0,0.0,0.0,119.05637,4.7879615,11.593122006964505,3.9932647,4.0517693,0.49270136096861133,0.9870177577610694,1.1143394649400618,0.9870177577610694,1.1143394649400618,6.673144,0.07588652482269503,0.29929078014184396,0.624822695035461,9.77678989949017,34.77936602089351,14.363884,1,0,1,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10485,1,1.0,4.0,135050.0,28960.0,20870.0,230.0,7860.0,567.41315,135050.0,58.199287,48.30112,0.11766013,0.014274691,256797.34,150101.73,0,0.0,0.0,150.10173,5.0179534,11.813400359220761,4.0638733,3.8774548,0.553285494879776,1.258705505522628,1.35996293198774,1.258705505522628,1.35996293198774,6.341088,0.007941988950276244,0.27140883977900554,0.7206491712707183,9.946068000071246,11.813400359220761,5.0179534,0,0,0,0.0,0.0,0.0,far,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10485,2,1.0,4.0,162590.0,33470.0,24040.0,170.0,9260.0,683.12256,135050.0,48.913654,47.27513,0.15179285,0.06706793,256797.34,150101.73,0,0.0,0.0,150.10173,5.0179534,11.813400359220761,3.8900566,3.8559844,0.553285494879776,1.258705505522628,1.35996293198774,1.258705505522628,1.35996293198774,6.5266743,0.005079175380938153,0.2766656707499253,0.7182551538691365,10.087474388649143,23.626800718441523,10.035907,1,1,0,0.0,0.0,0.0,far,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
10485,3,1.0,4.0,162560.0,46080.0,30180.0,4040.0,11860.0,682.9965,135050.0,46.31549,50.137775,0.17310531,0.312761,256797.34,150101.73,0,0.0,0.0,150.10173,5.0179534,11.813400359220761,3.8354764,3.9147747,0.553285494879776,1.258705505522628,1.35996293198774,1.258705505522628,1.35996293198774,6.5264897,0.0876736111111111,0.2573784722222222,0.6549479166666666,10.31493473232184,35.44020107766228,15.05386,1,0,1,0.0,0.0,0.0,far,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
10602,1,1.0,6.0,147780.0,34430.0,24600.0,820.0,9010.0,952.98895,147780.0,62.817764,48.3937,0.053322505,0.06217448,163707.16,51718.42,0,0.0,0.0,51.718422,3.9649649,11.903479960342638,4.140238,3.8793697,0.3672187874101266,0.5897612273859716,0.5412612171023978,0.5897612273859716,0.5412612171023978,6.8596034,0.02381643915190241,0.26169038629102526,0.7144931745570723,10.110501721920453,11.903479960342638,3.9649649,0,0,0,0.0,0.0,0.0,near,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10602,2,1.0,6.0,155000.0,35100.0,25530.0,610.0,8960.0,999.5485,147780.0,56.302826,53.837715,0.06696774,0.26420453,163707.16,51718.42,0,0.0,0.0,51.718422,3.9649649,11.903479960342638,4.0307446,3.9859743,0.3672187874101266,0.5897612273859716,0.5412612171023978,0.5897612273859716,0.5412612171023978,6.907304,0.017378917378917377,0.2552706552706553,0.7273504273504273,10.14760951023553,23.806959920685276,7.9299297,1,1,0,0.0,0.0,0.0,near,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10602,3,1.0,6.0,148820.0,38580.0,24700.0,2960.0,10920.0,959.69556,147780.0,52.439507,55.0378,0.066254534,0.47990257,163707.16,51718.42,0,0.0,0.0,51.718422,3.9649649,11.903479960342638,3.9596603,4.0080204,0.3672187874101266,0.5897612273859716,0.5412612171023978,0.5897612273859716,0.5412612171023978,6.8666162,0.0767236910316226,0.28304821150855364,0.6402280974598238,10.114558522616068,35.710439881027916,11.894895,1,0,1,0.0,0.0,0.0,near,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10603,1,1.0,6.0,134660.0,26060.0,19770.0,380.0,5910.0,793.5647,134660.0,63.743793,49.487793,0.035422545,0.0977918,185040.22,68386.05,0,0.0,0.0,68.38605,4.239686,11.810508362099272,4.154872,3.901726,0.4088234201652193,0.7027865609435551,0.7355169360186293,0.7027865609435551,0.7355169360186293,6.676535,0.014581734458940905,0.22678434382194934,0.7586339217191097,9.891920916164663,11.810508362099272,4.239686,0,0,0,0.0,0.0,0.0,near,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10603,2,1.0,6.0,146260.0,27600.0,19330.0,360.0,7910.0,861.9247,134660.0,56.435066,54.0984,0.05893614,0.4035433,185040.22,68386.05,0,0.0,0.0,68.38605,4.239686,11.810508362099272,4.0330906,3.9908047,0.4088234201652193,0.7027865609435551,0.7355169360186293,0.7027865609435551,0.7355169360186293,6.7591677,0.013043478260869565,0.2865942028985507,0.7003623188405798,9.869413572202376,23.621016724198544,8.479372,1,1,0,0.0,0.0,0.0,near,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10603,3,1.0,6.0,139000.0,34280.0,17720.0,3440.0,13120.0,819.14075,134660.0,52.85891,55.742012,0.0676259,0.62752527,185040.22,68386.05,0,0.0,0.0,68.38605,4.239686,11.810508362099272,3.9676263,4.0207343,0.4088234201652193,0.7027865609435551,0.7355169360186293,0.7027865609435551,0.7355169360186293,6.708256,0.10035005834305717,0.38273045507584597,0.5169194865810969,9.782449224159071,35.43152508629782,12.719058,1,0,1,0.0,0.0,0.0,near,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10607,1,1.0,6.0,335790.0,59680.0,37130.0,1900.0,20650.0,920.0734,335790.0,64.82352,51.378002,0.04607046,0.015099088,214123.53,97637.04,0,0.0,0.0,97.63704,4.591447,12.724241243551424,4.1716685,3.9392102,0.5472367338802661,1.228312749223059,1.2717770143258265,1.228312749223059,1.2717770143258265,6.8244534,0.03183646112600536,0.34601206434316356,0.6221514745308311,10.522180547171125,12.724241243551424,4.591447,0,0,0,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10607,2,1.0,6.0,355160.0,62530.0,40570.0,1170.0,20790.0,973.14777,335790.0,57.20367,55.08892,0.057269964,0.25267342,214123.53,97637.04,0,0.0,0.0,97.63704,4.591447,12.724241243551424,4.046618,4.008949,0.5472367338802661,1.228312749223059,1.2717770143258265,1.228312749223059,1.2717770143258265,6.880536,0.018711018711018712,0.33248040940348633,0.648808571885495,10.610784156200493,25.448482487102847,9.182894,1,1,0,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10607,3,1.0,6.0,312060.0,72360.0,36540.0,8160.0,27660.0,855.0526,335790.0,53.822357,56.91952,0.064410694,0.45848477,214123.53,97637.04,0,0.0,0.0,97.63704,4.591447,12.724241243551424,3.985689,4.0416384,0.5472367338802661,1.228312749223059,1.2717770143258265,1.228312749223059,1.2717770143258265,6.751163,0.11276948590381426,0.38225538971807627,0.5049751243781094,10.506162829931998,38.17272373065427,13.774341,1,0,1,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10610,1,1.0,6.0,143760.0,28630.0,15990.0,440.0,12200.0,1119.8005,143760.0,63.743793,49.487793,0.09752365,0.06422704,179855.48,68563.28,0,0.0,0.0,68.56328,4.2422366,11.87590052145744,4.154872,3.901726,0.4144044574242226,0.7191699913430989,0.7557662462377697,0.7191699913430989,0.7557662462377697,7.020906,0.015368494586098498,0.42612644079636747,0.558505064617534,9.679718805828,11.87590052145744,4.2422366,0,0,0,0.0,0.0,0.0,near,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
