run,outcome,coef,se,n,units
published (trim = 5th pctile),lmn,0.10876651327554059,0.02232536578905077,1673,239
published (trim = 5th pctile),D_lmn,0.0326196486942649,0.016282944500970585,1434,239
as shipped (trimL undefined),lmn,1.0635535711302406,0.7096893725260878,868,124
as shipped (trimL undefined),D_lmn,-0.5192615620816147,0.28609498275619477,744,124
