weighting,term,estimate,std.error,statistic,p.value
Unweighted,(Intercept),-10.003183974394242,1.3409783541609115,-7.459616289372187,8.677481320705966e-14
Unweighted,perc_female,-0.04092178500308802,0.016216540660385668,-2.5234595873491803,0.011620641652213371
Unweighted,perc_white,0.058805368000599774,0.005386725967995888,10.916717937756559,9.589883282266709e-28
Unweighted,perc_hispanic,-0.015908547227448232,0.003858421659964736,-4.123071200982639,3.738540744058614e-5
Unweighted,unemp_rate,0.3197844895414132,0.026150301547363988,12.228711357772019,2.1837545284839804e-34
Unweighted,poverty_rate,0.03482296878068092,0.01870649264103536,1.8615445155278212,0.06266732035652604
Unweighted,median_income,0.08235253582135688,0.009602059583572149,8.576549135588698,9.776191913895781e-18
Population-weighted,(Intercept),-8.166995418606575,4.388001894590681,-1.8612105497662745,0.06271444914227188
Population-weighted,perc_female,-0.18776264636747247,0.0567554085733212,-3.3082775912872795,9.387171301409651e-4
Population-weighted,perc_white,0.04012379078534453,0.011804072149860408,3.3991482156281996,6.759607437649631e-4
Population-weighted,perc_hispanic,-0.01848611216841166,0.00854664420853945,-2.1629673258120548,0.030543692786202167
Population-weighted,unemp_rate,0.6799747472515321,0.08498198770517719,8.001398479999395,1.2301398730141992e-15
Population-weighted,poverty_rate,0.10705464399070952,0.04771826820667038,2.243472951010085,0.024866332223606662
Population-weighted,median_income,0.1549102884925645,0.024893018655890525,6.223041513525219,4.876082916866742e-10
