weighting,variable,mean_C,mean_T,norm_diff
Unweighted,median_income,43.03558101472995,47.96538957055215,0.42713459072292687
Unweighted,perc_female,49.42724093237108,49.32837075493938,-0.03383194245442249
Unweighted,perc_hispanic,9.636987206575633,8.231262512984252,-0.10464220197469347
Unweighted,perc_white,81.6405377198785,90.48346152655004,0.585906162331648
Unweighted,poverty_rate,19.282487725040916,16.53118609406953,-0.4231170100359485
Unweighted,unemp_rate,7.6057705811161895,8.009833756007467,0.15661457812237561
Population-weighted,median_income,49.31307505111013,57.86059235671619,0.6851167958648925
Population-weighted,perc_female,50.47565178047632,50.07422221609951,-0.23842077192285402
Population-weighted,perc_hispanic,17.00986693252103,18.86239651612873,0.10697566215693977
Population-weighted,perc_white,77.90791164748173,79.53637965328946,0.11487638423858355
Population-weighted,poverty_rate,17.23660847964558,15.29165594793051,-0.3745861691807993
Population-weighted,unemp_rate,6.995159941641283,8.011495372450046,0.5034274660370837
