group,est,se,weighting,lo95,hi95
2014,9.427836673374044,3.842897789854284,Unweighted,1.8957570052596475,16.95991634148844
2015,4.940646697800527,5.895532638994975,Unweighted,-6.614597274629625,16.49589067023068
2016,-17.307096824793135,10.992741957154022,Unweighted,-38.85287106081502,4.23867741122875
2019,3.4765284779546177,8.853283800044453,Unweighted,-13.875907770132509,20.828964726041743
2014,-0.6844758943192536,3.7808009693432343,Population-weighted,-8.094845794231993,6.725894005593486
2015,10.042696902731768,2.924395708641742,Population-weighted,4.310881313793954,15.774512491669583
2016,-12.565660083280056,6.181112772030527,Population-weighted,-24.68064111645989,-0.4506790501002236
2019,3.308993556075082,4.464257289784732,Population-weighted,-5.440950731902992,12.058937844053156
