spec,weighting,est,se,lo95,hi95
Levels (D:Post),Unweighted,0.12163026343114325,3.748435346428052,-7.225303015567839,7.468563542430125
Two-way FE (D:Post),Unweighted,0.1216302634388427,3.74800907300352,-7.224467519648056,7.467728046525742
Long difference,Unweighted,0.12163026343887395,3.748009266819243,-7.224467899526842,7.46772842640459
Levels (D:Post),Population-weighted,-2.5628745138365048,1.4900067175408,-5.483287680216472,0.3575386525434632
Two-way FE (D:Post),Population-weighted,-2.5628745138345104,1.4898372734374876,-5.4829555697719865,0.3572065421029653
Long difference,Population-weighted,-2.5628745138345153,1.4898373504794138,-5.482955720774166,0.35720669310513564
