method,weighting,est,se,method_label,lo95,hi95
reg,Unweighted,-1.6154372119444513,4.65691449472011,Outcome regression (OR),-10.742989621595866,7.512115197706963
reg,Population-weighted,-3.459220059387085,2.291387294016277,Outcome regression (OR),-7.9503391556589875,1.0318990368848175
ipw,Unweighted,-0.8585625501050504,4.836400062348195,Inverse propensity weighting (IPW),-10.337906672307513,8.620781572097412
ipw,Population-weighted,-3.841696684582448,3.1935972348283066,Inverse propensity weighting (IPW),-10.10114726484593,2.417753895681033
dr,Unweighted,-1.2256473242376458,5.051772133212958,Doubly robust (DRDID),-11.127120705335042,8.675826056859751
dr,Population-weighted,-3.756104598545828,3.288794762102679,Doubly robust (DRDID),-10.202142332267078,2.6899331351754223
