treat_year,n_counties,n_states,pop_adult,share_counties,share_pop
0,1222,17,65171521,46.9%,38.2%
2014,978,22,84421489,37.6%,49.5%
2015,171,3,11906556,6.6%,7.0%
2016,93,2,3329529,3.6%,2.0%
2019,140,2,5811224,5.4%,3.4%
