stage,unweighted,weighted
2x2 cell-means ATT(2014),0.12163026343881711,-2.5628745138345153
2x2 TWFE long-difference,0.12163026343887395,-2.5628745138345153
2x2 DRDID (Callaway-Sant'Anna),-1.2256473242376458,-3.756104598545828
2xT dynamic ATT (avg over e>=0),9.427836673374044,-0.684475894325011
GxT dynamic ATT (avg over e>=0),7.9170700145269715,0.2656649807691042
