variable,weight
age15to24,0.007327795657321597
lnincome,2.9056742229596224e-4
retprice,0.054603052517103394
beer,0.020397404240614276
cigsale_1975,0.46836578354527475
cigsale_1980,0.41241821337230933
cigsale_1988,0.03659718324508055
