method,estimand,estimate,std_error,ci_low,ci_high
Naive pre-post,Descriptive (biased),-27.019999694824218,5.295057947686953,-37.39831327229064,-16.641686117357793
DiD (CA vs Nevada),"ATT (CA, 1989-1993)",-5.679998779296874,5.392882085386058,-16.25004766665355,4.890050108059802
ITS (growth curve),Mean post-period gap,-28.27868468635946,1.724257124244341,-31.658228649878367,-24.89914072284055
ITS (ARIMA),Mean post-period gap,4.548926512170031,2.343885615252731,-0.04508929372532222,9.142942318065383
RDD on time,Level jump at 1989,-20.05809661412209,5.585379153473603,-31.00543975493035,-9.110753473313826
Synthetic Control,"ATT (CA, 1989-2000)",-18.719475821017078,1.8153792386798122,-22.27761912882951,-15.161332513204645
CausalImpact,"ATT (CA, 1989-2000)",-12.822791071917358,9.597295686430545,-31.633490617321225,5.98790847348651
