response,cum.response,point.pred,point.pred.lower,point.pred.upper,cum.pred,cum.pred.lower,cum.pred.upper,point.effect,point.effect.lower,point.effect.upper,cum.effect,cum.effect.lower,cum.effect.upper,year
123,123,125.03840155358357,113.10683782492815,135.78865113462743,123,123,123,-2.0384015535835687,-12.788651134627429,9.89316217507185,0,0,0,1970
121,244,124.73567985155937,114.205025861813,135.42721434653512,244,244,244,-3.735679851559368,-14.427214346535123,6.794974138187001,0,0,0,1971
123.5,367.5,125.13637268563065,114.45951529079377,135.7931240142672,367.5,367.5,367.5,-1.636372685630647,-12.293124014267192,9.040484709206225,0,0,0,1972
124.4000015258789,491.9000015258789,125.43058348124418,114.92273973676072,135.69994594717653,491.9000015258789,491.9000015258789,491.9000015258789,-1.0305819553652782,-11.299944421297624,9.477261789118188,0,0,0,1973
126.69999694824219,618.5999984741211,125.45665112132079,114.87794871809348,135.68639714393362,618.5999984741211,618.5999984741211,618.5999984741211,1.2433458269213986,-8.98640019569143,11.82204823014871,0,0,0,1974
127.0999984741211,745.6999969482422,125.0114759945968,115.12772931096757,135.28003160822527,745.6999969482422,745.6999969482422,745.6999969482422,2.0885224795243005,-8.180033134104178,11.972269163153527,0,0,0,1975
128,873.6999969482422,124.50496691955729,115.27662759570309,134.30173192072976,873.6999969482422,873.6999969482422,873.6999969482422,3.4950330804427097,-6.301731920729765,12.72337240429691,0,0,0,1976
126.4000015258789,1000.0999984741211,124.25558561225193,114.17024773395006,133.81195428444457,1000.0999984741211,1000.0999984741211,1000.0999984741211,2.144415913626972,-7.411952758565661,12.229753791928843,0,0,0,1977
126.0999984741211,1126.1999969482422,122.97411243076564,113.0764323235063,133.55176365507336,1126.1999969482422,1126.1999969482422,1126.1999969482422,3.1258860433554503,-7.451765180952265,13.023566150614798,0,0,0,1978
121.9000015258789,1248.099998474121,122.2718115711472,111.59212702003761,132.6013148959205,1248.099998474121,1248.099998474121,1248.099998474121,-0.3718100452682904,-10.70131337004159,10.307874505841298,0,0,0,1979
