.id,.placebo,variable_mspe,control_unit_mspe
California,0,3.2090782637641966,0.001704420002535154
Alabama,1,8.385282920233648,4.3504048680826263e-4
Arkansas,1,11.145103216642369,0.011643911668947711
Colorado,1,47.16635281040126,0.0025966066339692083
Connecticut,1,33.1089321463663,0.06468443635372742
Delaware,1,233.25197388002385,0.005039163759960493
Georgia,1,3.5966168238766456,5.091481873729048e-4
Idaho,1,11.963334473135374,0.029983695271962138
Illinois,1,6.6468873853403565,2.2153136680718846e-5
Indiana,1,22.942895700119116,0.007987042691672797
Iowa,1,15.882287295596745,2.3247080841521814e-6
Kansas,1,14.921661937780375,1.4013901178972423e-4
Kentucky,1,578.1610128813782,0.14704534049404885
Louisiana,1,6.88129292090303,0.002725675380271155
Maine,1,17.29995796457126,1.88102223419053e-4
Minnesota,1,17.24558746866946,1.3691276835834393e-4
Mississippi,1,5.583961445697284,0.0015990271393184381
Missouri,1,2.7710795988419488,5.19088071617316e-4
Montana,1,7.167599561998582,0.0033276699891448616
Nebraska,1,5.763224364173178,1.528059519588197e-5
Nevada,1,118.85718652933795,0.09286677527444817
New Hampshire,1,3485.934543862771,1.507089908698247
New Mexico,1,9.85011524061156,0.01571008985979425
North Carolina,1,204.49605722668926,0.18493226690771936
North Dakota,1,18.68493402567921,0.0018795824594903755
Ohio,1,22.8745707795257,0.0016083128607135443
Oklahoma,1,17.433462631644886,0.01734875195239271
Pennsylvania,1,5.053407781997308,0.002366799293168736
Rhode Island,1,173.213399478145,0.002508128063923595
South Carolina,1,10.057820059047817,0.020164374903012566
South Dakota,1,9.023587898331863,1.747274314745244e-5
Tennessee,1,10.499417052877575,0.004416750187070212
Texas,1,14.195961163435054,0.014177359408068805
Utah,1,593.7651359763559,0.8174270901085138
Vermont,1,103.7206631857963,0.001167015288016476
Virginia,1,9.41930463745132,0.00522442744863198
West Virginia,1,9.715524799405252,0.0032249089000028447
Wisconsin,1,10.70011477113301,0.02944356032215378
Wyoming,1,112.71740141279706,0.0011567933243355095
