year,Control,Treated (flooded)
2000,0.05542,0.04946
2001,0.05189,0.06127
2002,0.05275,0.04335
2003,0.06249,0.07528
2004,0.03681,0.05421
2005,0.05174,-0.02954
2006,0.04793,0.10525
2007,0.04681,0.12485
2008,0.05211,0.09915
2009,0.03518,0.03765
2010,0.0624,0.07312
2011,0.05527,0.07155
2012,0.04625,0.05443
