coefficient,(1) Sumatra controls,(2) Rest of Sumatra,(3) Aceh non-flooded
Pre-tsunami (2003-04),+0.0233 (0.0200),+0.0239 (0.0203),+0.0211 (0.0227)
Tsunami (2005),+0.0192 (0.0239),+0.0209 (0.0247),+0.0098 (0.0271)
Recovery (2006-08),+0.0827*** (0.0261),+0.0924*** (0.0262),+0.0251 (0.0303)
Post-recovery (2009-12),+0.0133 (0.0131),+0.0151 (0.0134),+0.0028 (0.0199)
Observations,"1,283","1,118",295
