group,Before (<=2004),After (>=2005),After - Before,did_att,did_se,did_p
Control (not flooded),0.05188,0.04971,-0.00217,0.01252,0.01422,0.37884
Treated (flooded),0.05671,0.06706,0.01034,0.01252,0.01422,0.37884
