year,qtile,mean_growth
2007,Q4 (Richest),.31094933
2007,,
2008,Q1 (Poorest),2.9927931
2008,Q2,1.986684
2008,Q3,1.3899266
2008,Q4 (Richest),.48858929
2008,,
2009,Q1 (Poorest),
2009,Q2,
2009,Q3,
2009,Q4 (Richest),
2009,,
2010,Q1 (Poorest),
2010,Q2,
2010,Q3,
2010,Q4 (Richest),
2010,,
2011,Q1 (Poorest),
2011,Q2,
2011,Q3,
2011,Q4 (Richest),
2011,,
2012,Q1 (Poorest),
2012,Q2,
2012,Q3,
2012,Q4 (Richest),
2012,,
2013,Q1 (Poorest),
2013,Q2,
2013,Q3,
2013,Q4 (Richest),
2013,,
2014,Q1 (Poorest),
2014,Q2,
2014,Q3,
2014,Q4 (Richest),
2014,,
2015,Q1 (Poorest),
2015,Q2,
2015,Q3,
2015,Q4 (Richest),
2015,,
2016,Q1 (Poorest),
2016,Q2,
2016,Q3,
2016,Q4 (Richest),
2016,,
2017,Q1 (Poorest),
2017,Q2,
2017,Q3,
2017,Q4 (Richest),
2017,,
