GDLcode,region,country,period,education,health,income,shdi_official,pop,region_country,pc1,pc1_index
ECUr102,Sierra,Ecuador,Y2013,0.712,0.857,0.743,0.768,6514.8,Sierra (ECU),0.5304383763823819,0.6494851165970642
ECUr102,Sierra,Ecuador,Y2019,0.715,0.877,0.735,0.772,7205.9,Sierra (ECU),0.7158494588536504,0.6726054614536601
ECUr103,Oriente,Ecuador,Y2013,0.651,0.857,0.666,0.719,1962.2,Oriente (ECU),-0.5298136320304133,0.5172740764441613
ECUr103,Oriente,Ecuador,Y2019,0.654,0.877,0.659,0.723,2170.3,Oriente (ECU),-0.3361253561647689,0.5414265686954651
GUYr101,Barima-Waini,Guyana,Y2013,0.483,0.745,0.534,0.577,17.7,Barima-Waini (GUY),-4.07978098267276,0.07460113433874417
GUYr101,Barima-Waini,Guyana,Y2019,0.487,0.758,0.562,0.592,14.5,Barima-Waini (GUY),-3.6702484724724282,0.12566891701719451
GUYr102,Pomeroon-Supenaam,Guyana,Y2013,0.55,0.763,0.617,0.638,43.0,Pomeroon-Supenaam (GUY),-2.720521411389873,0.24409774489091388
GUYr102,Pomeroon-Supenaam,Guyana,Y2019,0.562,0.777,0.644,0.655,43.4,Pomeroon-Supenaam (GUY),-2.2522612414827705,0.3024887346125665
GUYr103,Essequibo Islands-West Demerara,Guyana,Y2013,0.582,0.727,0.664,0.655,116.0,Essequibo Islands-West De (GUY),-2.5251336489927363,0.26846215928928413
GUYr103,Essequibo Islands-West Demerara,Guyana,Y2019,0.591,0.737,0.691,0.67,123.2,Essequibo Islands-West De (GUY),-2.123838212894661,0.3185027973584957
GUYr104,Demerara-Mahaica,Guyana,Y2013,0.622,0.756,0.688,0.687,330.8,Demerara-Mahaica (GUY),-1.7144608982960985,0.3695512274945559
GUYr104,Demerara-Mahaica,Guyana,Y2019,0.628,0.774,0.712,0.702,346.6,Demerara-Mahaica (GUY),-1.2664638543272388,0.42541545099856665
GUYr105,Mahaica-Berbice,Guyana,Y2013,0.574,0.769,0.655,0.661,52.7,Mahaica-Berbice (GUY),-2.170349022634406,0.31270300402138995
GUYr105,Mahaica-Berbice,Guyana,Y2019,0.583,0.794,0.678,0.68,53.6,Mahaica-Berbice (GUY),-1.6290399577851618,0.3802030266009747
GUYr106,East Berbice-Corentyne,Guyana,Y2013,0.549,0.765,0.671,0.656,112.9,East Berbice-Corentyne (GUY),-2.2574029010679797,0.3018475812297115
GUYr106,East Berbice-Corentyne,Guyana,Y2019,0.55,0.793,0.692,0.671,114.7,East Berbice-Corentyne (GUY),-1.7534871021543228,0.3646847476724246
GUYr107,Cuyuni-Mazaruni,Guyana,Y2013,0.576,0.722,0.578,0.622,13.3,Cuyuni-Mazaruni (GUY),-3.336277268061396,0.1673143748573548
GUYr107,Cuyuni-Mazaruni,Guyana,Y2019,0.582,0.732,0.605,0.636,12.6,Cuyuni-Mazaruni (GUY),-2.9557805918180335,0.2147614543645802
GUYr108,Potaro-Siparuni,Guyana,Y2013,0.522,0.735,0.443,0.554,10.0,Potaro-Siparuni (GUY),-4.678036638335488,0.0
GUYr108,Potaro-Siparuni,Guyana,Y2019,0.517,0.747,0.45,0.558,8.6,Potaro-Siparuni (GUY),-4.516262962469773,0.020172813431009753
GUYr109,Upper Takutu-Upper Essequibo,Guyana,Y2013,0.567,0.751,0.47,0.585,23.5,Upper Takutu-Upper Essequ (GUY),-3.9579071230493836,0.08979853044872825
GUYr109,Upper Takutu-Upper Essequibo,Guyana,Y2019,0.574,0.773,0.489,0.601,26.3,Upper Takutu-Upper Essequ (GUY),-3.4981971521465205,0.1471233295903158
GUYr110,Upper Demerara-Berbice,Guyana,Y2013,0.658,0.742,0.672,0.69,39.3,Upper Demerara-Berbice (GUY),-1.758891783189648,0.36401079610647125
GUYr110,Upper Demerara-Berbice,Guyana,Y2019,0.664,0.758,0.693,0.704,39.5,Upper Demerara-Berbice (GUY),-1.358809306381074,0.41390018088113045
PERr101,"North (Tumbes, Piura, Lambayeque, Cajamarca, La Libertad)",Peru,Y2013,0.634,0.857,0.684,0.719,6396.0,"North (Tumbes, Piura, Lam (PER)",-0.49868379010835345,0.5211558976976501
PERr101,"North (Tumbes, Piura, Lambayeque, Cajamarca, La Libertad)",Peru,Y2019,0.673,0.879,0.699,0.745,6983.9,"North (Tumbes, Piura, Lam (PER)",0.14977084566728105,0.6020167319215921
PERr102,"North East (Amazonas, Loreto, San Martin, Ucayali)",Peru,Y2013,0.613,0.821,0.654,0.69,2779.7,"North East (Amazonas, Lor (PER)",-1.308084676511444,0.42022542810841396
PERr102,"North East (Amazonas, Loreto, San Martin, Ucayali)",Peru,Y2019,0.651,0.842,0.668,0.716,3035.2,"North East (Amazonas, Lor (PER)",-0.6863816475703338,0.49775039714437225
PERr103,"East (Madre de Dios, Cusco, Puno, Apurimac)",Peru,Y2013,0.632,0.82,0.635,0.69,3385.3,"East (Madre de Dios, Cusc (PER)",-1.3451673654133158,0.41560130022892766
PERr103,"East (Madre de Dios, Cusco, Puno, Apurimac)",Peru,Y2019,0.67,0.841,0.649,0.715,3696.4,"East (Madre de Dios, Cusc (PER)",-0.7234643364722058,0.4931262692648859
PERr104,"South (Tacna, Moquegua, Arequipa, Ica, Ayacucho)",Peru,Y2013,0.733,0.866,0.719,0.77,3319.8,"South (Tacna, Moquegua, A (PER)",0.5812504952975537,0.6558212735114989
PERr104,"South (Tacna, Moquegua, Arequipa, Ica, Ayacucho)",Peru,Y2019,0.779,0.888,0.734,0.797,3624.9,"South (Tacna, Moquegua, A (PER)",1.2782355707341873,0.7427337443800753
PERr105,"West (Ancash, Lima, Callao)",Peru,Y2013,0.772,0.868,0.781,0.806,10839.5,"West (Ancash, Lima, Calla (PER)",1.3879033508373009,0.7564090698344436
PERr105,"West (Ancash, Lima, Callao)",Peru,Y2019,0.822,0.89,0.797,0.835,11835.8,"West (Ancash, Lima, Calla (PER)",2.120897299474594,0.8478117661803762
PERr106,"Central (Huancavelica, Huanuco, Junin, Pasco)",Peru,Y2013,0.642,0.838,0.655,0.706,3053.6,"Central (Huancavelica, Hu (PER)",-0.9025474152156757,0.47079501223675474
PERr106,"Central (Huancavelica, Huanuco, Junin, Pasco)",Peru,Y2019,0.681,0.859,0.669,0.732,3334.3,"Central (Huancavelica, Hu (PER)",-0.2739114663229946,0.549184500793375
PRYr101,"North-West (Boqueron, Alto Paraguay, Presidente Hayes, Conception, Amambay, San pedro, Cordillera)",Paraguay,Y2013,0.603,0.805,0.666,0.686,1169.6,"North-West (Boqueron, Alt (PRY)",-1.462751451111892,0.4009388292764707
PRYr101,"North-West (Boqueron, Alto Paraguay, Presidente Hayes, Conception, Amambay, San pedro, Cordillera)",Paraguay,Y2019,0.615,0.82,0.684,0.701,1265.6,"North-West (Boqueron, Alt (PRY)",-1.0574445282655975,0.45147969071836463
PRYr102,"North-East (Caaguazu, Alto Parana, Canideyu)",Paraguay,Y2013,0.599,0.807,0.685,0.692,1512.9,"North-East (Caaguazu, Alt (PRY)",-1.3101334694478748,0.4199699482385018
PRYr102,"North-East (Caaguazu, Alto Parana, Canideyu)",Paraguay,Y2019,0.61,0.822,0.704,0.707,1637.1,"North-East (Caaguazu, Alt (PRY)",-0.9034822731587766,0.4706784375544416
PRYr103,"South-West (Caazapa, Itapua)",Paraguay,Y2013,0.596,0.822,0.688,0.696,676.4,"South-West (Caazapa, Itap (PRY)",-1.1329782467907896,0.4420608059498445
PRYr103,"South-West (Caazapa, Itapua)",Paraguay,Y2019,0.607,0.837,0.707,0.711,731.9,"South-West (Caazapa, Itap (PRY)",-0.7263270505016891,0.4927692952657846
PRYr104,"South-East (Guaira, Misiones, Paraguari, Neembucu)",Paraguay,Y2013,0.592,0.827,0.703,0.701,861.0,"South-East (Guaira, Misio (PRY)",-0.9788445582385422,0.46128093015088467
PRYr104,"South-East (Guaira, Misiones, Paraguari, Neembucu)",Paraguay,Y2019,0.603,0.843,0.722,0.716,931.7,"South-East (Guaira, Misio (PRY)",-0.5606518684608635,0.5134286177394385
PRYr105,"Central (Asuncion, Central)",Paraguay,Y2013,0.671,0.837,0.75,0.75,2290.2,"Central (Asuncion, Centra (PRY)",0.07329914235703487,0.5924808825606017
PRYr105,"Central (Asuncion, Central)",Paraguay,Y2019,0.685,0.852,0.769,0.766,2478.2,"Central (Asuncion, Centra (PRY)",0.5007490985008489,0.6457829304385281
SURr101,Paramaribo,Suriname,Y2013,0.702,0.768,0.82,0.762,237.7,Paramaribo (SUR),0.07126014775017049,0.5922266245203428
SURr101,Paramaribo,Suriname,Y2019,0.73,0.773,0.774,0.759,218.8,Paramaribo (SUR),-0.0576615223042452,0.5761503823053811
SURr102,Wanica and Para,Suriname,Y2013,0.641,0.79,0.8,0.74,144.9,Wanica and Para (SUR),-0.2632789804344689,0.550510347863297
SURr102,Wanica and Para,Suriname,Y2019,0.685,0.795,0.761,0.746,193.1,Wanica and Para (SUR),-0.2233335775031146,0.5554914497418846
SURr103,"Nickerie, Coronie and Saramacca",Suriname,Y2013,0.606,0.816,0.807,0.737,59.1,"Nickerie, Coronie and Sar (SUR)",-0.14791199427579488,0.5648963514910359
SURr103,"Nickerie, Coronie and Saramacca",Suriname,Y2019,0.641,0.818,0.76,0.736,59.9,"Nickerie, Coronie and Sar (SUR)",-0.27120489852932395,0.5495220037081596
SURr104,Commewijne and Marowijne,Suriname,Y2013,0.589,0.809,0.756,0.711,50.1,Commewijne and Marowijne (SUR),-0.7686989509857298,0.4874856146013767
SURr104,Commewijne and Marowijne,Suriname,Y2019,0.635,0.81,0.729,0.721,57.8,Commewijne and Marowijne (SUR),-0.6617273613730331,0.5008247311673297
SURr105,Brokopondo and Sipaliwini,Suriname,Y2013,0.382,0.774,0.602,0.562,55.6,Brokopondo and Sipaliwini (SUR),-3.8824534357951044,0.09920743549781554
SURr105,Brokopondo and Sipaliwini,Suriname,Y2019,0.446,0.822,0.602,0.604,51.9,Brokopondo and Sipaliwini (SUR),-2.8847548714428006,0.22361820190564474
URYr101,Montevideo and Metropolitan area,Uruguay,Y2013,0.777,0.878,0.794,0.815,1709.1,Montevideo and Metropolit (URY),1.645586399607827,0.7885415662950948
URYr101,Montevideo and Metropolitan area,Uruguay,Y2019,0.809,0.891,0.802,0.833,1745.5,Montevideo and Metropolit (URY),2.083696800564628,0.8431729476579229
URYr102,"Norte (Artigas, Rivera, Cerro Largo and Trienta y Tres)",Uruguay,Y2013,0.657,0.878,0.785,0.768,303.8,"Norte (Artigas, Rivera, C (URY)",0.7391412648699067,0.6755098972632736
URYr102,"Norte (Artigas, Rivera, Cerro Largo and Trienta y Tres)",Uruguay,Y2019,0.684,0.891,0.794,0.785,310.3,"Norte (Artigas, Rivera, C (URY)",1.1508642594632283,0.7268508284174995
URYr103,"Costa Este (Canelones, Maldonado and Rocha)",Uruguay,Y2013,0.736,0.878,0.797,0.802,461.1,"Costa Este (Canelones, Ma (URY)",1.3861682617765387,0.7561927081320736
URYr103,"Costa Este (Canelones, Maldonado and Rocha)",Uruguay,Y2019,0.766,0.891,0.806,0.819,470.9,"Costa Este (Canelones, Ma (URY)",1.818690016224574,0.8101271978482858
URYr104,"Litoral Sur (Soriano, Colonia and San Jose)",Uruguay,Y2013,0.653,0.878,0.787,0.767,290.9,"Litoral Sur (Soriano, Col (URY)",0.7279639718523743,0.6741161139700413
URYr104,"Litoral Sur (Soriano, Colonia and San Jose)",Uruguay,Y2019,0.68,0.891,0.796,0.784,297.1,"Litoral Sur (Soriano, Col (URY)",1.1396869664456961,0.7254570451242672
URYr105,Centro (Durazno and Tacuarembo),Uruguay,Y2013,0.667,0.878,0.791,0.774,152.5,Centro (Durazno and Tacua (URY),0.8581336247518745,0.6903479768381424
URYr105,Centro (Durazno and Tacuarembo),Uruguay,Y2019,0.694,0.891,0.8,0.791,155.8,Centro (Durazno and Tacua (URY),1.2698566193451957,0.7416889079923683
URYr106,"Centro Sur (Flores, Florida and Lavalleja)",Uruguay,Y2013,0.734,0.878,0.789,0.798,172.7,"Centro Sur (Flores, Flori (URY)",1.306084874718388,0.7462064899330855
URYr106,"Centro Sur (Flores, Florida and Lavalleja)",Uruguay,Y2019,0.761,0.891,0.798,0.815,176.4,"Centro Sur (Flores, Flori (URY)",1.7178078693117096,0.7975474210873114
URYr107,"Litoral Norte (Paysandu, Salto and Rio Negro)",Uruguay,Y2013,0.633,0.878,0.789,0.76,299.4,Litoral Norte (Paysandu (URY),0.6058599596097037,0.6588900183462157
URYr107,"Litoral Norte (Paysandu, Salto and Rio Negro)",Uruguay,Y2019,0.659,0.891,0.797,0.776,305.8,Litoral Norte (Paysandu (URY),1.0023728408570782,0.7083342825850717
VENr101,Federal District,Venezuela,Y2013,0.809,0.813,0.851,0.824,2380.0,Federal District (VEN),1.5890427847799573,0.7814907047347485
VENr101,Federal District,Venezuela,Y2019,0.782,0.801,0.692,0.757,2278.7,Federal District (VEN),-0.05271772548119474,0.5767668626469356
VENr102,Amazonas Federal Territory,Venezuela,Y2013,0.748,0.751,0.771,0.756,87.9,Amazonas Federal Territor (VEN),-0.211613400107813,0.5569529294956734
VENr102,Amazonas Federal Territory,Venezuela,Y2019,0.722,0.739,0.62,0.692,84.1,Amazonas Federal Territor (VEN),-1.7802234432623865,0.36135078608618665
VENr103,Anzoategui,Venezuela,Y2013,0.738,0.835,0.798,0.789,1604.7,Anzoategui (VEN),0.9120270750651955,0.6970683688457177
VENr103,Anzoategui,Venezuela,Y2019,0.713,0.822,0.645,0.723,1536.4,Anzoategui (VEN),-0.6777459284151373,0.49882725189486316
VENr104,Apure,Venezuela,Y2013,0.605,0.821,0.698,0.703,479.5,Apure (VEN),-0.9993515267714669,0.45872375731026954
VENr104,Apure,Venezuela,Y2019,0.581,0.809,0.556,0.639,459.1,Apure (VEN),-2.479600989473511,0.2741399794944791
VENr105,Aragua,Venezuela,Y2013,0.762,0.833,0.821,0.805,1885.0,Aragua (VEN),1.245709614996395,0.7386778308746642
VENr105,Aragua,Venezuela,Y2019,0.736,0.82,0.665,0.738,1804.8,Aragua (VEN),-0.37582788861863603,0.5364757522190238
VENr106,Barinas,Venezuela,Y2013,0.625,0.81,0.74,0.721,807.7,Barinas (VEN),-0.6400074335506077,0.503533157302497
VENr106,Barinas,Venezuela,Y2019,0.6,0.798,0.593,0.657,773.3,Barinas (VEN),-2.168575783176106,0.3129241229925042
VENr107,Bolivar,Venezuela,Y2013,0.74,0.812,0.791,0.78,1555.9,Bolivar (VEN),0.6024982109704085,0.6584708158539714
VENr107,Bolivar,Venezuela,Y2019,0.716,0.8,0.638,0.715,1489.7,Bolivar (VEN),-0.9688003790697749,0.4625334166963926
VENr108,Carabobo,Venezuela,Y2013,0.758,0.823,0.817,0.799,2485.1,Carabobo (VEN),1.0694542267268246,0.7166991804870471
VENr108,Carabobo,Venezuela,Y2019,0.733,0.81,0.662,0.733,2379.4,Carabobo (VEN),-0.5368731635422581,0.5163937687467769
VENr109,Cojedes,Venezuela,Y2013,0.695,0.8,0.768,0.753,329.4,Cojedes (VEN),-0.03835655678388055,0.5785576680745297
VENr109,Cojedes,Venezuela,Y2019,0.668,0.788,0.618,0.688,315.4,Cojedes (VEN),-1.6056223264956484,0.3831231525390888
VENr110,Amacuros Delta Federal Territory,Venezuela,Y2013,0.71,0.821,0.758,0.761,121.2,Amacuros Delta Federal Te (VEN),0.2252366718060662,0.6114271506622678
VENr110,Amacuros Delta Federal Territory,Venezuela,Y2019,0.685,0.808,0.609,0.696,116.1,Amacuros Delta Federal Te (VEN),-1.33142755809676,0.4173146232902456
VENr111,Falcon,Venezuela,Y2013,0.702,0.824,0.779,0.767,989.7,Falcon (VEN),0.37821885394112914,0.6305036846036803
VENr111,Falcon,Venezuela,Y2019,0.676,0.811,0.628,0.701,947.6,Falcon (VEN),-1.2019326827020207,0.43346234292158003
VENr112,Guarico,Venezuela,Y2013,0.657,0.821,0.745,0.738,805.9,Guarico (VEN),-0.24981159975409234,0.5521896999359739
VENr112,Guarico,Venezuela,Y2019,0.631,0.808,0.597,0.673,771.6,Guarico (VEN),-1.8051315562141144,0.35824480043799745
VENr113,Lara,Venezuela,Y2013,0.697,0.805,0.77,0.756,1992.5,Lara (VEN),0.049771137350904666,0.5895469932683383
VENr113,Lara,Venezuela,Y2019,0.671,0.793,0.62,0.691,1907.7,Lara (VEN),-1.510561712409292,0.3949769972535594
VENr114,Merida,Venezuela,Y2013,0.704,0.807,0.79,0.766,933.7,Merida (VEN),0.28692843187658046,0.6191199743523602
VENr114,Merida,Venezuela,Y2019,0.676,0.795,0.638,0.7,894.0,Merida (VEN),-1.3038246445755106,0.42075664450684125
VENr115,Miranda,Venezuela,Y2013,0.782,0.815,0.833,0.81,3009.6,Miranda (VEN),1.2759474519659237,0.7424484211173557
VENr115,Miranda,Venezuela,Y2019,0.757,0.803,0.677,0.744,2881.5,Miranda (VEN),-0.3271156382089571,0.5425500602549911
VENr116,Monagas,Venezuela,Y2013,0.715,0.813,0.778,0.767,929.8,Monagas (VEN),0.3331131915428179,0.6248791099788289
VENr116,Monagas,Venezuela,Y2019,0.69,0.8,0.627,0.702,890.3,Monagas (VEN),-1.2401054251487613,0.42870228781739056
VENr117,Nueva Esparta,Venezuela,Y2013,0.749,0.823,0.823,0.797,477.4,Nueva Esparta (VEN),1.0567211075289407,0.7151113891693365
VENr117,Nueva Esparta,Venezuela,Y2019,0.724,0.811,0.667,0.732,457.1,Nueva Esparta (VEN),-0.5463419826459398,0.5152130283069719
VENr118,Portuguesa,Venezuela,Y2013,0.637,0.79,0.743,0.721,937.0,Portuguesa (VEN),-0.7628106837201896,0.48821986828229236
VENr118,Portuguesa,Venezuela,Y2019,0.612,0.778,0.596,0.657,897.1,Portuguesa (VEN),-2.2913790333456876,0.2976108339722996
VENr119,Sucre,Venezuela,Y2013,0.67,0.81,0.764,0.746,1025.2,Sucre (VEN),-0.12937339426488081,0.5672080732052827
VENr119,Sucre,Venezuela,Y2019,0.642,0.798,0.615,0.68,981.5,Sucre (VEN),-1.6952948905338445,0.37194118554388755
VENr120,Tachira,Venezuela,Y2013,0.704,0.825,0.802,0.775,1280.4,Tachira (VEN),0.5940016354034993,0.6574113119959023
VENr120,Tachira,Venezuela,Y2019,0.677,0.812,0.648,0.709,1225.9,Tachira (VEN),-1.0179144013743497,0.4564090086090159
VENr121,Trujillo,Venezuela,Y2013,0.664,0.818,0.762,0.745,775.9,Trujillo (VEN),-0.09519335285443563,0.5714702474728034
VENr121,Trujillo,Venezuela,Y2019,0.636,0.806,0.613,0.68,742.8,Trujillo (VEN),-1.661114849123398,0.37620335981140857
VENr122,Yaracuy,Venezuela,Y2013,0.669,0.802,0.761,0.742,654.0,Yaracuy (VEN),-0.25346984230820563,0.5517335253195871
VENr122,Yaracuy,Venezuela,Y2019,0.643,0.79,0.611,0.677,626.2,Yaracuy (VEN),-1.8138026920684032,0.35716352930480816
VENr123,Zulia,Venezuela,Y2013,0.704,0.799,0.785,0.762,3850.1,Zulia (VEN),0.15321051699607474,0.6024456511979108
VENr123,Zulia,Venezuela,Y2019,0.679,0.787,0.633,0.697,3686.2,Zulia (VEN),-1.416743799601303,0.4066758799143781
VENr124,Vargas,Venezuela,Y2013,0.738,0.844,0.817,0.798,385.4,Vargas (VEN),1.1731671909555434,0.7296319537986927
VENr124,Vargas,Venezuela,Y2019,0.713,0.831,0.662,0.732,369.0,Vargas (VEN),-0.4331601993135405,0.5293265420584223
