"spec","term","estimate","t","stars","N","within_r2"
"annual","trade_gdp",0.000187276747075832,0.563858765115737,"",889,0.0206648595660358
"annual","urbanization",-0.00265109161571292,-2.78459425231152,"***",889,0.0206648595660358
"5-year","trade_gdp",-0.000117922761718147,-0.128356556104183,"",209,0.0676714231471673
"5-year","urbanization",-0.0029472348329077,-2.63395244577109,"***",209,0.0676714231471673
