"test","estimate","t_or_note"
"cubic (full sample)",0.0184472994217287,3.05970508944123
"cubic (exclude GDP<$1000)",0.0262147752526178,2.23120470437459
"WCV vs WCV-no-capital corr",0.838733336909196,NA
"CV cubic",0.0248811547613493,2.23187270808726
"regional-Gini cubic",0.00724633192355194,5.15074725053494
