geocode,year,mn,div,dist,pop91,rainm,rainsd,jamuna_m,padma_m,treat,smp1,treatd
10409.0,1.0,1.0166667,1.0,4.0,244420.0,64.28601,63.832626,260636.16,148376.4,0.0,0.0,0.0
10409.0,2.0,1.0533333,1.0,4.0,244420.0,56.351475,55.748596,260636.16,148376.4,0.0,0.0,0.0
10409.0,3.0,1.045,1.0,4.0,244420.0,60.045456,62.52816,260636.16,148376.4,0.0,0.0,0.0
10409.0,4.0,1.0833334,1.0,4.0,244420.0,57.72656,53.80264,260636.16,148376.4,0.0,0.0,0.0
10409.0,5.0,1.0566667,1.0,4.0,244420.0,61.818478,61.330963,260636.16,148376.4,0.0,0.0,0.0
10409.0,6.0,1.0733333,1.0,4.0,244420.0,54.745113,54.827724,260636.16,148376.4,0.0,0.0,0.0
10409.0,7.0,1.035,1.0,4.0,244420.0,59.64119,62.2691,260636.16,148376.4,0.0,0.0,0.0
10419.0,1.0,1.0966667,1.0,4.0,65850.0,63.399235,62.62426,237144.56,128130.87,0.0,0.0,0.0
10419.0,2.0,1.38,1.0,4.0,65850.0,55.90219,55.130154,237144.56,128130.87,0.0,0.0,0.0
10419.0,3.0,1.2475,1.0,4.0,65850.0,59.75582,61.99453,237144.56,128130.87,0.0,0.0,0.0
10419.0,4.0,1.0,1.0,4.0,65850.0,57.461597,53.454224,237144.56,128130.87,0.0,0.0,0.0
10419.0,5.0,1.0233333,1.0,4.0,65850.0,61.612953,61.23772,237144.56,128130.87,0.0,0.0,0.0
10419.0,6.0,1.0,1.0,4.0,65850.0,54.44788,54.332905,237144.56,128130.87,0.0,0.0,0.0
10419.0,7.0,1.0,1.0,4.0,65850.0,59.28074,61.789078,237144.56,128130.87,0.0,0.0,0.0
10428.0,1.0,1.61,1.0,4.0,220400.0,63.399235,62.62426,253781.38,143560.8,0.0,0.0,0.0
10428.0,2.0,1.72,1.0,4.0,220400.0,55.90219,55.130154,253781.38,143560.8,0.0,0.0,0.0
10428.0,3.0,1.7075,1.0,4.0,220400.0,59.75582,61.99453,253781.38,143560.8,0.0,0.0,0.0
10428.0,4.0,1.8,1.0,4.0,220400.0,57.461597,53.454224,253781.38,143560.8,0.0,0.0,0.0
10428.0,5.0,1.5666667,1.0,4.0,220400.0,61.612953,61.23772,253781.38,143560.8,0.0,0.0,0.0
10428.0,6.0,1.9866667,1.0,4.0,220400.0,54.44788,54.332905,253781.38,143560.8,0.0,0.0,0.0
10428.0,7.0,2.04,1.0,4.0,220400.0,59.28074,61.789078,253781.38,143560.8,0.0,0.0,0.0
10447.0,1.0,1.0333333,1.0,4.0,108350.0,63.399235,62.62426,230616.36,119056.375,0.0,0.0,0.0
10447.0,2.0,1.0766666,1.0,4.0,108350.0,55.90219,55.130154,230616.36,119056.375,0.0,0.0,0.0
10447.0,3.0,1.0274999,1.0,4.0,108350.0,59.75582,61.99453,230616.36,119056.375,0.0,0.0,0.0
10447.0,4.0,1.0699999,1.0,4.0,108350.0,57.461597,53.454224,230616.36,119056.375,0.0,0.0,0.0
10447.0,5.0,1.0233333,1.0,4.0,108350.0,61.612953,61.23772,230616.36,119056.375,0.0,0.0,0.0
10447.0,6.0,1.0133333,1.0,4.0,108350.0,54.44788,54.332905,230616.36,119056.375,0.0,0.0,0.0
10447.0,7.0,1.02,1.0,4.0,108350.0,59.28074,61.789078,230616.36,119056.375,0.0,0.0,0.0
10485.0,1.0,1.0866667,1.0,4.0,135050.0,55.28227,54.21879,256797.34,150101.73,0.0,0.0,0.0
10485.0,2.0,1.15,1.0,4.0,135050.0,49.44906,49.11148,256797.34,150101.73,0.0,0.0,0.0
10485.0,3.0,1.1925,1.0,4.0,135050.0,52.5954,53.444427,256797.34,150101.73,0.0,0.0,0.0
10485.0,4.0,1.26,1.0,4.0,135050.0,49.50017,46.45316,256797.34,150101.73,0.0,0.0,0.0
10485.0,5.0,1.1966666,1.0,4.0,135050.0,53.591682,53.857365,256797.34,150101.73,0.0,0.0,0.0
10485.0,6.0,1.35,1.0,4.0,135050.0,46.63412,46.70402,256797.34,150101.73,0.0,0.0,0.0
10485.0,7.0,1.285,1.0,4.0,135050.0,50.679985,52.40394,256797.34,150101.73,0.0,0.0,0.0
10602.0,1.0,1.3933333,1.0,6.0,147780.0,57.450626,55.123608,163707.16,51718.42,0.0,0.0,0.0
10602.0,2.0,1.63,1.0,6.0,147780.0,52.61929,50.86611,163707.16,51718.42,0.0,0.0,0.0
10602.0,3.0,1.895,1.0,6.0,147780.0,57.24029,57.71557,163707.16,51718.42,0.0,0.0,0.0
10602.0,4.0,1.8566667,1.0,6.0,147780.0,56.23343,51.493294,163707.16,51718.42,0.0,0.0,0.0
10602.0,5.0,1.1766666,1.0,6.0,147780.0,60.48773,59.642776,163707.16,51718.42,0.0,0.0,0.0
10602.0,6.0,1.7766666,1.0,6.0,147780.0,52.64656,51.182568,163707.16,51718.42,0.0,0.0,0.0
10602.0,7.0,1.615,1.0,6.0,147780.0,56.433174,57.8404,163707.16,51718.42,0.0,0.0,0.0
10603.0,1.0,2.7,1.0,6.0,134660.0,58.486,56.496067,185040.22,68386.05,0.0,0.0,0.0
10603.0,2.0,3.7033334,1.0,6.0,134660.0,53.283184,51.787785,185040.22,68386.05,0.0,0.0,0.0
10603.0,3.0,3.805,1.0,6.0,134660.0,57.75365,58.557186,185040.22,68386.05,0.0,0.0,0.0
10603.0,4.0,3.7133334,1.0,6.0,134660.0,56.53681,52.058174,185040.22,68386.05,0.0,0.0,0.0
10603.0,5.0,2.4133334,1.0,6.0,134660.0,60.79795,60.264606,185040.22,68386.05,0.0,0.0,0.0
10603.0,6.0,3.8466666,1.0,6.0,134660.0,53.039227,51.982544,185040.22,68386.05,0.0,0.0,0.0
10603.0,7.0,4.13,1.0,6.0,134660.0,56.99997,58.734093,185040.22,68386.05,0.0,0.0,0.0
10607.0,1.0,1.23,1.0,6.0,335790.0,60.215034,58.547474,214123.53,97637.04,0.0,0.0,0.0
10607.0,2.0,1.56,1.0,6.0,335790.0,54.469414,53.20054,214123.53,97637.04,0.0,0.0,0.0
10607.0,3.0,1.44,1.0,6.0,335790.0,58.77555,60.01799,214123.53,97637.04,0.0,0.0,0.0
10607.0,4.0,1.39,1.0,6.0,335790.0,57.4863,53.00832,214123.53,97637.04,0.0,0.0,0.0
10607.0,5.0,1.2166667,1.0,6.0,335790.0,61.620193,61.189007,214123.53,97637.04,0.0,0.0,0.0
10607.0,6.0,1.3266667,1.0,6.0,335790.0,53.98807,53.185104,214123.53,97637.04,0.0,0.0,0.0
10607.0,7.0,1.2049999,1.0,6.0,335790.0,58.17536,60.228294,214123.53,97637.04,0.0,0.0,0.0
10610.0,1.0,1.9433334,1.0,6.0,143760.0,58.486,56.496067,179855.48,68563.28,0.0,0.0,0.0
10610.0,2.0,2.4666667,1.0,6.0,143760.0,53.283184,51.787785,179855.48,68563.28,0.0,0.0,0.0
10610.0,3.0,2.295,1.0,6.0,143760.0,57.75365,58.557186,179855.48,68563.28,0.0,0.0,0.0
