year,Cluster,Division,District,rural,female,age5,age60,Age,hsize,DrinkWater,Toilet,Electricity,Floor,Roof,padma_m,jamuna_m,treat,smp1,yr
3.0,433.0,4.0,1.0,1.0,0.5179856,0.1438849,0.10071942,27.28777,5.273381,0.0,0.033333335,0.36666667,0.033333335,0.2,109203.125,206010.5,0.0,0.0,0.0
6.0,274.0,4.0,1.0,1.0,0.51785713,0.14285715,0.10714286,27.27381,6.571429,0.0,0.0,0.56666666,0.13333334,1.0,109203.125,206010.5,0.0,0.0,1.0
7.0,330.0,4.0,1.0,0.0,0.4846154,0.06153846,0.10769231,31.123077,10.153846,0.4642857,0.21428572,0.85714287,0.5714286,0.96428573,109203.125,206010.5,0.0,0.0,1.0
2.0,5.0016036e+07,4.0,1.0,1.0,0.51376146,0.10091743,0.08256881,25.119267,6.0825686,0.0,0.0,0.0,,0.25,109203.125,206010.5,0.0,0.0,0.0
4.0,136.0,4.0,1.0,1.0,0.516129,0.21290323,0.08387097,23.129032,6.470968,0.0,0.0,0.045454547,0.08695652,0.9130435,109203.125,206010.5,0.0,0.0,1.0
4.0,137.0,4.0,1.0,1.0,0.5187166,0.15508021,0.09090909,24.417112,7.0748663,0.0,0.0,0.33333334,0.030303031,1.0,109203.125,206010.5,0.0,0.0,1.0
1.0,433.0,4.0,1.0,1.0,0.4723618,0.110552765,0.06030151,25.20603,6.678392,0.0,0.0,0.25714287,0.0,0.08571429,109203.125,206010.5,0.0,0.0,0.0
1.0,434.0,4.0,1.0,1.0,0.5,0.08695652,0.13043478,29.97826,6.7826085,0.0,0.0,0.0,0.0,0.05263158,109203.125,206010.5,0.0,0.0,0.0
7.0,276.0,4.0,1.0,1.0,0.51282054,0.094017096,0.06837607,27.880342,9.145299,0.1923077,0.0,0.23076923,0.03846154,0.84615386,109203.125,206010.5,0.0,0.0,1.0
2.0,5.0010804e+07,4.0,1.0,0.0,0.53125,0.114583336,0.083333336,27.3125,5.25,0.1,0.2,0.45,,0.55,109203.125,206010.5,0.0,0.0,0.0
6.0,278.0,4.0,1.0,1.0,0.503876,0.10852713,0.12403101,31.387596,4.9224806,0.0,0.0,0.44444445,0.0,0.962963,109203.125,206010.5,0.0,0.0,1.0
7.0,275.0,4.0,1.0,1.0,0.43089432,0.10569106,0.08130081,26.439024,9.96748,0.08695652,0.0,0.73913044,0.04347826,1.0,109203.125,206010.5,0.0,0.0,1.0
7.0,274.0,4.0,1.0,1.0,0.46774194,0.06451613,0.08064516,29.588709,9.225806,0.07692308,0.0,0.6923077,0.07692308,0.9230769,109203.125,206010.5,0.0,0.0,1.0
7.0,52.0,1.0,4.0,0.0,0.47663552,0.11214953,0.06542056,28.037384,8.915888,0.73913044,0.3478261,0.9130435,0.6956522,1.0,137845.23,247795.16,0.0,0.0,1.0
1.0,105.0,1.0,4.0,1.0,0.47959185,0.14795919,0.096938774,25.540817,6.408163,0.0,0.0,0.0,0.0,0.41666666,137845.23,247795.16,0.0,0.0,0.0
3.0,101.0,1.0,4.0,0.0,0.44036698,0.12844037,0.055045873,25.100918,5.330275,0.0,0.041666668,0.041666668,0.041666668,0.5833333,137845.23,247795.16,0.0,0.0,0.0
4.0,25.0,1.0,4.0,1.0,0.4516129,0.14193548,0.11612903,25.929031,6.2645164,0.0,0.0,0.15384616,0.03846154,1.0,137845.23,247795.16,0.0,0.0,1.0
3.0,105.0,1.0,4.0,1.0,0.44047618,0.17261904,0.035714287,22.607143,5.5833335,0.0,0.0,0.0,0.0,0.56666666,137845.23,247795.16,0.0,0.0,0.0
7.0,1.0,1.0,4.0,1.0,0.42574257,0.14851485,0.10891089,28.326733,8.811881,0.0,0.0,0.0,0.0,0.90909094,137845.23,247795.16,0.0,0.0,1.0
4.0,26.0,1.0,4.0,1.0,0.4640523,0.078431375,0.09803922,27.143791,6.5686274,0.0,0.0,0.0,0.0,0.9310345,137845.23,247795.16,0.0,0.0,1.0
6.0,6.0,1.0,4.0,1.0,0.5035461,0.09929078,0.14184397,31.304964,6.106383,0.0,0.14814815,0.4814815,0.074074075,1.0,137845.23,247795.16,0.0,0.0,1.0
7.0,2.0,1.0,4.0,1.0,0.49618322,0.122137405,0.08396947,27.824427,10.274809,0.0,0.0,0.26923078,0.0,1.0,137845.23,247795.16,0.0,0.0,1.0
6.0,5.0,1.0,4.0,1.0,0.48305085,0.11016949,0.13559322,30.550848,4.661017,0.0,0.0,0.45833334,0.125,1.0,137845.23,247795.16,0.0,0.0,1.0
6.0,4.0,1.0,4.0,1.0,0.5206612,0.14876033,0.09917355,28.454546,5.016529,0.0,0.0,0.20833333,0.041666668,1.0,137845.23,247795.16,0.0,0.0,1.0
5.0,1.0,1.0,4.0,1.0,0.47058824,0.19327731,0.11764706,26.042017,4.9159665,0.0,0.03846154,0.0,0.0,0.8076923,137845.23,247795.16,0.0,0.0,1.0
6.0,8.0,1.0,4.0,1.0,0.5203252,0.09756097,0.08943089,26.780487,4.739837,0.07692308,0.0,0.30769232,0.07692308,0.96153843,137845.23,247795.16,0.0,0.0,1.0
6.0,1.0,1.0,4.0,1.0,0.5080645,0.14516129,0.088709675,25.508064,5.032258,0.0,0.0,0.5217391,0.0,0.95652175,137845.23,247795.16,0.0,0.0,1.0
3.0,106.0,1.0,4.0,1.0,0.49685535,0.1572327,0.025157232,22.408806,5.981132,0.0,0.0,0.0,0.0,0.21875,137845.23,247795.16,0.0,0.0,0.0
2.0,7.50429e+07,1.0,4.0,1.0,0.5,0.13934426,0.08196721,24.557377,7.180328,0.0,0.0,0.0,,0.3,137845.23,247795.16,0.0,0.0,0.0
4.0,23.0,1.0,4.0,1.0,0.47368422,0.11278196,0.09774436,26.68421,5.631579,0.0,0.0,0.19354838,0.0,0.87096775,137845.23,247795.16,0.0,0.0,1.0
2.0,7.504478e+07,1.0,4.0,1.0,0.4563107,0.16504854,0.048543688,21.708738,5.6407766,0.0,0.0,0.0,,0.7,137845.23,247795.16,0.0,0.0,0.0
6.0,2.0,1.0,4.0,1.0,0.5185185,0.11111111,0.08888889,27.577778,5.311111,0.0,0.0,0.21428572,0.0,1.0,137845.23,247795.16,0.0,0.0,1.0
5.0,34.0,1.0,4.0,0.0,0.50359714,0.1294964,0.10071942,28.589928,5.4892087,0.0,0.0,0.11111111,0.037037037,1.0,137845.23,247795.16,0.0,0.0,1.0
7.0,51.0,1.0,4.0,0.0,0.44615385,0.092307694,0.10769231,29.361538,10.0,0.0,0.033333335,0.93333334,0.36666667,1.0,137845.23,247795.16,0.0,0.0,1.0
7.0,3.0,1.0,4.0,1.0,0.45614034,0.0877193,0.114035085,30.280703,8.807017,0.0,0.0,0.0,0.0,1.0,137845.23,247795.16,0.0,0.0,1.0
6.0,7.0,1.0,4.0,0.0,0.52845526,0.08943089,0.12195122,29.373983,4.626016,0.0,0.0,0.47826087,0.0,1.0,137845.23,247795.16,0.0,0.0,1.0
5.0,4.0,1.0,4.0,1.0,0.5072464,0.16666667,0.08695652,26.833334,5.5507245,0.0,0.045454547,0.18181819,0.0,1.0,137845.23,247795.16,0.0,0.0,1.0
5.0,2.0,1.0,4.0,1.0,0.5033557,0.13422818,0.12751678,27.617449,5.8590603,0.0,0.0,0.037037037,0.037037037,0.8888889,137845.23,247795.16,0.0,0.0,1.0
1.0,106.0,1.0,4.0,1.0,0.5183246,0.14136125,0.036649216,23.057592,6.225131,0.0,0.0,0.0,0.0,0.34285715,137845.23,247795.16,0.0,0.0,0.0
7.0,4.0,1.0,4.0,1.0,0.484375,0.1171875,0.1328125,31.203125,14.46875,0.0,0.0,0.88461536,0.03846154,1.0,137845.23,247795.16,0.0,0.0,1.0
4.0,24.0,1.0,4.0,1.0,0.50641024,0.083333336,0.09615385,29.153847,5.8589745,0.0,0.0,0.0,0.0,1.0,137845.23,247795.16,0.0,0.0,1.0
3.0,107.0,1.0,4.0,1.0,0.4852941,0.14705883,0.10294118,25.55147,5.2352943,0.0,0.0,0.0,0.032258064,0.19354838,137845.23,247795.16,0.0,0.0,0.0
2.0,7.50428e+07,1.0,4.0,0.0,0.41346154,0.1923077,0.028846154,22.211538,5.923077,0.0,0.2,0.45,,0.5,137845.23,247795.16,0.0,0.0,0.0
5.0,44.0,1.0,4.0,0.0,0.4473684,0.14473684,0.09210526,27.736841,5.9210525,0.0,0.0,0.0,0.0,0.85714287,137845.23,247795.16,0.0,0.0,1.0
2.0,7.504851e+07,1.0,4.0,1.0,0.53608245,0.12371134,0.041237112,22.938145,5.329897,0.0,0.0,0.0,,0.15,137845.23,247795.16,0.0,0.0,0.0
1.0,101.0,1.0,4.0,0.0,0.5,0.14925373,0.07462686,24.27612,7.6119404,0.032258064,0.09677419,0.033333335,0.032258064,0.32258064,137845.23,247795.16,0.0,0.0,0.0
4.0,307.0,1.0,4.0,0.0,0.45859873,0.13375796,0.044585988,24.961784,6.4267516,0.0,0.06666667,0.8,0.33333334,1.0,137845.23,247795.16,0.0,0.0,1.0
