former_dis,dist,year,div,yld,pop91,rainm,rainsd,jamuna_m,padma_m,treat,smp1,treatd
10,10.0,5.0,4.0,3.550683901699319,99263220.0,44.811943,42.157322,134053.0,97950.44,0.0,0.0,0.0
10,10.0,6.0,4.0,3.7800656995685844,99263220.0,49.976036,50.04929,134053.0,97950.44,0.0,0.0,0.0
10,10.0,7.0,4.0,3.686583333333333,99263220.0,41.042896,39.49592,134053.0,97950.44,0.0,0.0,0.0
10,10.0,8.0,4.0,3.862833333333333,99263220.0,44.19292,43.360146,134053.0,97950.44,0.0,0.0,0.0
12,12.0,1.0,4.0,2.5567582459518317,102808440.0,43.720943,43.424694,198393.48,119238.41,0.0,0.0,0.0
12,12.0,2.0,4.0,2.560408561150776,102808440.0,45.36578,44.37451,198393.48,119238.41,0.0,0.0,0.0
12,12.0,3.0,4.0,2.6397696628162093,102808440.0,41.719936,41.352688,198393.48,119238.41,0.0,0.0,0.0
12,12.0,4.0,4.0,2.8688815760579054,102808440.0,45.33732,45.053646,198393.48,119238.41,0.0,0.0,0.0
12,12.0,5.0,4.0,2.967621669191109,102808440.0,43.43939,41.341713,198393.48,119238.41,0.0,0.0,0.0
12,12.0,6.0,4.0,3.2980964403920563,102808440.0,47.032295,48.099197,198393.48,119238.41,0.0,0.0,0.0
12,12.0,7.0,4.0,3.392888888888889,102808440.0,39.80282,39.626625,198393.48,119238.41,0.0,0.0,0.0
12,12.0,8.0,4.0,3.3477777777777775,102808440.0,43.170643,43.241646,198393.48,119238.41,0.0,0.0,0.0
13,13.0,1.0,3.0,2.5338702505967134,84742350.0,91.71211,86.39753,119528.37,148369.27,0.0,,1.0
13,13.0,2.0,3.0,2.7163202749905633,84742350.0,75.0298,81.355034,119528.37,148369.27,0.0,,1.0
13,13.0,3.0,3.0,2.7505445912976447,84742350.0,73.541374,77.18377,119528.37,148369.27,0.0,,1.0
13,13.0,4.0,3.0,3.072147245810962,84742350.0,79.364815,81.32483,119528.37,148369.27,0.0,,1.0
13,13.0,5.0,3.0,3.1976142592961994,84742350.0,87.935524,83.82862,119528.37,148369.27,0.0,,1.0
13,13.0,6.0,3.0,3.5285033526600826,84742350.0,86.28417,87.26117,119528.37,148369.27,0.0,,1.0
13,13.0,7.0,3.0,3.826166666666667,84742350.0,82.32813,81.92084,119528.37,148369.27,0.0,,1.0
13,13.0,8.0,3.0,4.050166666666667,84742350.0,83.1562,88.8869,119528.37,148369.27,0.0,,1.0
14,14.0,1.0,4.0,2.760979511237075,58838220.0,39.453384,39.101135,115949.83,145069.19,0.0,0.0,0.0
14,14.0,2.0,4.0,2.5246534854903953,58838220.0,35.797646,37.02188,115949.83,145069.19,0.0,0.0,0.0
14,14.0,3.0,4.0,2.612402563866787,58838220.0,36.33549,35.492386,115949.83,145069.19,0.0,0.0,0.0
14,14.0,4.0,4.0,3.211373013513361,58838220.0,40.513412,38.828648,115949.83,145069.19,0.0,0.0,0.0
14,14.0,5.0,4.0,3.4541895285861366,58838220.0,40.283134,38.930916,115949.83,145069.19,0.0,0.0,0.0
14,14.0,6.0,4.0,3.670624796361906,58838220.0,44.571785,46.36983,115949.83,145069.19,0.0,0.0,0.0
14,14.0,7.0,4.0,3.972,58838220.0,35.46146,35.522484,115949.83,145069.19,0.0,0.0,0.0
14,14.0,8.0,4.0,3.8986666666666667,58838220.0,38.89268,39.30338,115949.83,145069.19,0.0,0.0,0.0
15,15.0,1.0,3.0,2.539691080936475,83115480.0,74.77228,69.55351,79369.5,144659.48,0.0,,1.0
15,15.0,2.0,3.0,2.6548015390871744,83115480.0,60.193565,63.797863,79369.5,144659.48,0.0,,1.0
15,15.0,3.0,3.0,2.568809245665944,83115480.0,59.47686,61.838078,79369.5,144659.48,0.0,,1.0
15,15.0,4.0,3.0,3.050611613352499,83115480.0,66.673355,66.50572,79369.5,144659.48,0.0,,1.0
15,15.0,5.0,3.0,3.3046555117236127,83115480.0,71.94577,68.030785,79369.5,144659.48,0.0,,1.0
15,15.0,6.0,3.0,3.4705454125361315,83115480.0,71.09679,70.805984,79369.5,144659.48,0.0,,1.0
15,15.0,7.0,3.0,3.312333333333333,83115480.0,66.598236,65.59513,79369.5,144659.48,0.0,,1.0
15,15.0,8.0,3.0,3.5086666666666666,83115480.0,67.08631,70.47184,79369.5,144659.48,0.0,,1.0
17,17.0,1.0,5.0,2.774978983098385,87752490.0,47.863518,46.218544,40237.04,119170.336,1.0,1.0,0.0
17,17.0,2.0,5.0,2.8952410790306593,87752490.0,40.01157,40.622684,40237.04,119170.336,1.0,1.0,0.0
17,17.0,3.0,5.0,2.9119644995726817,87752490.0,40.401184,39.50774,40237.04,119170.336,1.0,1.0,0.0
17,17.0,4.0,5.0,3.1619307587365966,87752490.0,47.450745,45.456944,40237.04,119170.336,1.0,1.0,0.0
17,17.0,5.0,5.0,3.3379005830926154,87752490.0,47.219765,44.05436,40237.04,119170.336,1.0,1.0,0.0
17,17.0,6.0,5.0,3.8465145648625487,87752490.0,50.562542,49.795967,40237.04,119170.336,1.0,1.0,0.0
17,17.0,7.0,5.0,4.0263333333333335,87752490.0,42.55548,40.853016,40237.04,119170.336,1.0,1.0,0.0
17,17.0,8.0,5.0,4.217333333333333,87752490.0,44.56745,44.687344,40237.04,119170.336,1.0,1.0,0.0
18,18.0,1.0,1.0,1.6888801917877652,40047630.0,59.48269,58.692463,246981.2,134356.86,0.0,0.0,0.0
18,18.0,2.0,1.0,2.4681719317215958,40047630.0,64.6018,64.40811,246981.2,134356.86,0.0,0.0,0.0
18,18.0,3.0,1.0,2.7720214149017726,40047630.0,56.655724,56.41261,246981.2,134356.86,0.0,0.0,0.0
18,18.0,4.0,1.0,2.869280031902535,40047630.0,59.43308,61.680264,246981.2,134356.86,0.0,0.0,0.0
18,18.0,5.0,1.0,2.416837174623393,40047630.0,59.63674,57.901295,246981.2,134356.86,0.0,0.0,0.0
18,18.0,6.0,1.0,2.700661042462594,40047630.0,62.230778,61.996677,246981.2,134356.86,0.0,0.0,0.0
18,18.0,7.0,1.0,2.7355,40047630.0,55.174747,55.401363,246981.2,134356.86,0.0,0.0,0.0
18,18.0,8.0,1.0,2.8428333333333335,40047630.0,60.082855,61.697582,246981.2,134356.86,0.0,0.0,0.0
19,19.0,1.0,5.0,2.6252815492541046,138508860.0,39.068634,41.18583,114846.84,205826.95,1.0,1.0,0.0
19,19.0,2.0,5.0,3.037830051386186,138508860.0,31.177652,34.85002,114846.84,205826.95,1.0,1.0,0.0
19,19.0,3.0,5.0,2.9205579747342196,138508860.0,33.378162,35.22425,114846.84,205826.95,1.0,1.0,0.0
19,19.0,4.0,5.0,3.219712560638115,138508860.0,37.972847,37.853615,114846.84,205826.95,1.0,1.0,0.0
19,19.0,5.0,5.0,3.3026561791423132,138508860.0,39.59471,39.94868,114846.84,205826.95,1.0,1.0,0.0
19,19.0,6.0,5.0,3.689202153130656,138508860.0,40.5795,43.77704,114846.84,205826.95,1.0,1.0,0.0
19,19.0,7.0,5.0,3.995583333333333,138508860.0,33.841133,35.86439,114846.84,205826.95,1.0,1.0,0.0
