comparator,n_links,pearson_r,spearman_r,auc_pip,jaccard_top,share_top_matched,mean_link_dist_km
queen_contiguity,342,0.21341743970283494,0.1406695789383875,0.6981791114893825,0.1373134328358209,0.17228464419475656,237.8857891607356
knn7,630,0.18538939409590413,0.12358044494450784,0.6307564416914011,0.15403225806451612,0.23845193508114856,360.1399238774865
same_country,570,0.27069775450258604,0.22862641813517745,0.7532878230522543,0.21434898139946856,0.3021223470661673,407.4187576643717
same_group,2438,0.27986390649804055,0.31105906190406424,0.6925450011689762,0.1838450292397661,0.6279650436953808,800.9477505028204
estimated_top10pct,801,NA,NA,NA,1,1,921.0637997660323
all_pairs_baseline,8010,NA,NA,NA,NA,NA,1330.5427014957133
