nuts1,country,country_group,country_col,name_latn,centroid_x,centroid_y,area_km2,queen_degree,queen_repaired,knn_k,in_map_frame
ITH,IT,Southern,#AC7B53,Nord-Est,4441811.172312231,2484100.6371,62227,5,FALSE,7,TRUE
ITI,IT,Southern,#AC7B53,Centro (IT),4501829.396616168,2199793.6465,58220.8,3,FALSE,7,TRUE
LT0,LT,Baltics,#8F302D,Lietuva,5184263.647979364,3656186.99845,64584.4,3,FALSE,7,TRUE
LU0,LU,Western,#2D7D64,Luxembourg,4040403.440243123,2975495.2678500004,2627.5,4,FALSE,7,TRUE
LV0,LV,Baltics,#5E1010,Latvija,5291052.496712122,3846296.07005,64646.6,2,FALSE,7,TRUE
MT0,MT,Southern,#93623A,Malta,4706489.379994249,1453186.9649999999,275.5,1,TRUE,7,TRUE
NL1,NL,Western,#1D6B4F,Noord-Nederland,4065930.3621122423,3327520.2993,8966.6,3,FALSE,7,TRUE
NL2,NL,Western,#1D6B4F,Oost-Nederland,4062304.6423255075,3250079.1542999996,10833.1,5,FALSE,7,TRUE
NL3,NL,Western,#1D6B4F,West-Nederland,3888869.874072995,3152124.1971499994,10186.8,4,FALSE,7,TRUE
NL4,NL,Western,#1D6B4F,Zuid-Nederland,4020430.7042534384,3143147.5703999996,7225.9,5,FALSE,7,TRUE
PL2,PL,CEE,#DB6566,Makroregion południowy,5017118.47933103,3047595.71,27577.8,5,FALSE,7,TRUE
PL4,PL,CEE,#DB6566,Makroregion północno-zachodni,4714801.02611394,3329961.5447500004,66332.9,6,FALSE,7,TRUE
PL5,PL,CEE,#DB6566,Makroregion południowo-zachodni,4803135.88918577,3111159.4705,29430.2,5,FALSE,7,TRUE
PL6,PL,CEE,#DB6566,Makroregion północny,4921317.630884225,3425694.9006000003,60391.9,5,FALSE,7,TRUE
PL7,PL,CEE,#DB6566,Makroregion centralny,4977779.384048451,3179740.69965,29984.4,6,FALSE,7,TRUE
PL8,PL,CEE,#DB6566,Makroregion wschodni,5196484.259782717,3254664.8953,63360.1,6,FALSE,7,TRUE
PL9,PL,CEE,#DB6566,Makroregion województwo mazowieckie,5080657.458519431,3311218.1937500006,35407.6,3,FALSE,7,TRUE
PT1,PT,Southern,#7A4A21,Continente,2742656.6352107297,2011481.1346000005,89259.1,3,FALSE,7,TRUE
PT2,PT,Southern,#7A4A21,Região Autónoma dos Açores,1290966.205332533,2361555.30435,2364.2,1,TRUE,7,FALSE
PT3,PT,Southern,#7A4A21,Região Autónoma da Madeira,1812348.499374046,1523816.4118,903.9,1,TRUE,7,FALSE
RO1,RO,CEE,#CF5452,Macroregiunea Unu,5373230.4888639655,2724693.8444500007,68332,4,FALSE,7,TRUE
RO2,RO,CEE,#CF5452,Macroregiunea Doi,5645347.66479563,2697525.60075,72276.7,3,FALSE,7,TRUE
RO3,RO,CEE,#CF5452,Macroregiunea Trei,5596486.726400041,2504897.46,36198.1,4,FALSE,7,TRUE
RO4,RO,CEE,#CF5452,Macroregiunea Patru,5315187.691320618,2539900.70455,61215.6,4,FALSE,7,TRUE
SE1,SE,Northern,#2F6199,Östra Sverige,4689260.993586409,4024838.3341999995,51818.8,2,FALSE,7,TRUE
SE2,SE,Northern,#2F6199,Södra Sverige,4582230.195119074,3801067.8411499998,85785.2,2,FALSE,7,TRUE
SE3,SE,Northern,#2F6199,Norra Sverige,4646537.898668552,4548424.48375,315046.2,3,FALSE,7,TRUE
SI0,SI,CEE,#C3433E,Slovenija,4674808.044213414,2572414.1999499993,20148,4,FALSE,7,TRUE
SK0,SK,CEE,#B8322B,Slovensko,4968465.5215666965,2876973.6454499997,48918.9,7,FALSE,7,TRUE
