case,n,kbar,k,m_k,p_k,expected_k
(c) Strong shrinkage: b = 11.71,90,7,71,1.1447684631052423e-25,4.036744553340593e-8,7.000000000000033
(c) Strong shrinkage: b = 11.71,90,7,72,2.8704642059953436e-25,2.5304965856762887e-8,7.000000000000033
(c) Strong shrinkage: b = 11.71,90,7,73,7.560861903420738e-25,1.5522118231725715e-8,7.000000000000033
(c) Strong shrinkage: b = 11.71,90,7,74,2.094399179664007e-24,9.296669743065078e-9,7.000000000000033
(c) Strong shrinkage: b = 11.71,90,7,75,6.108664274020301e-24,5.423057350121545e-9,7.000000000000033
(c) Strong shrinkage: b = 11.71,90,7,76,1.8785025397565563e-23,3.0720209266584874e-9,7.000000000000033
(c) Strong shrinkage: b = 11.71,90,7,77,6.09947511402881e-23,1.6840596646139876e-9,7.000000000000033
(c) Strong shrinkage: b = 11.71,90,7,78,2.0945367372701978e-22,8.896918982866041e-10,7.000000000000033
(c) Strong shrinkage: b = 11.71,90,7,79,7.620255366515585e-22,4.506991853162206e-10,7.000000000000033
(c) Strong shrinkage: b = 11.71,90,7,80,2.9429951760339037e-21,2.17578917049232e-10,7.000000000000033
(c) Strong shrinkage: b = 11.71,90,7,81,1.2091871484139299e-20,9.932950560943199e-11,7.000000000000033
(c) Strong shrinkage: b = 11.71,90,7,82,5.298270406027523e-20,4.2461468046780685e-11,7.000000000000033
(c) Strong shrinkage: b = 11.71,90,7,83,2.482496053146629e-19,1.6779128502355953e-11,7.000000000000033
(c) Strong shrinkage: b = 11.71,90,7,84,1.2476134010685488e-18,6.023276898281559e-12,7.000000000000033
(c) Strong shrinkage: b = 11.71,90,7,85,6.7484543057798334e-18,1.9164971949077564e-12,7.000000000000033
(c) Strong shrinkage: b = 11.71,90,7,86,3.944242225319807e-17,5.209895287127806e-13,7.000000000000033
(c) Strong shrinkage: b = 11.71,90,7,87,2.5021286616873683e-16,1.1396645940592602e-13,7.000000000000033
(c) Strong shrinkage: b = 11.71,90,7,88,1.7318103995498615e-15,1.7927308221156414e-14,7.000000000000033
(c) Strong shrinkage: b = 11.71,90,7,89,1.315753510877452e-14,1.530379970098643e-15,7.000000000000033
