state,mean,lo95,hi95
Connecticut,0.2181735549485624,-0.035536532567261137,0.5660421222318583
Nevada,0.19765648774308694,0.08099920737111074,0.26633274900408865
West Virginia,0.12826257029535904,-0.020482658480639945,0.309743012886623
Montana,0.12137649630040155,-0.02943832664317994,0.42290562472934523
Illinois,0.10902073437433987,-0.030974895289071887,0.37365964734013507
Ohio,0.06309712139378888,-0.23827160612633647,0.47326550253475463
Maine,0.05252788330004388,-0.0714299964708806,0.22102399381816432
Kansas,0.044283614128488434,-0.041422537948687096,0.1856295708794714
Utah,0.04001831663289614,-0.08541316840157542,0.23727390289326306
Nebraska,0.03426807009699042,-0.10496136450480328,0.30731904846582414
Rhode Island,0.027762060799536158,-0.04264415354526527,0.14554694457689243
Alabama,0.02371239328338012,-0.11146466245346798,0.23816658421558629
Wisconsin,0.02067170260526432,-0.09628694971950387,0.19518258753140466
Colorado,0.019870887390649496,-0.06648523150784694,0.16551277545821463
New Mexico,0.01902407177613886,-0.1282788419650267,0.2620855040100284
Delaware,0.017191287983741553,-0.07871710732449655,0.14276392031848906
Virginia,0.015595992458520926,-0.09020779825468575,0.18035824229672398
South Dakota,0.015469686220718815,-0.0937352294303176,0.17628907886169898
Missouri,0.015419329373343981,-0.22289247108309818,0.31808715933054366
Idaho,0.015089621301100618,-0.07436578746980566,0.18865166892381732
North Carolina,0.014407891653252963,-0.023033382165338703,0.11622364931231151
Louisiana,0.013465754091987008,-0.10715212392131365,0.2014192717936203
Kentucky,0.010617239267534847,-0.03227387379344465,0.11335013191369361
Iowa,0.0067300497909924895,-0.06270417405435744,0.0934376525897665
South Carolina,0.003837399150908118,-0.11720447262865498,0.13871043511608228
Wyoming,0.0033519396307061197,-0.0401753043937712,0.05858534375050904
New Hampshire,7.571158464684516e-5,-0.034031942053817085,0.03409328847176661
Arkansas,-0.001183086681886277,-0.11618169296526665,0.09959804558856239
Pennsylvania,-0.001964809973806463,-0.1850780269479523,0.15612556607782968
Oklahoma,-0.0022950988821006132,-0.10643773082426708,0.09128796011073617
Vermont,-0.004043609695300118,-0.07678839405601251,0.05158904123052911
Minnesota,-0.005462014921313747,-0.09738342254148889,0.06687043553034233
Georgia,-0.007978299164828572,-0.2766427407097477,0.20063434395131324
Texas,-0.008683433339184638,-0.15633110121933302,0.11871605379076243
North Dakota,-0.011338139356379694,-0.1451387740207234,0.07441760420320265
Indiana,-0.023687058992943568,-0.12413559572953574,0.03631397944916246
Mississippi,-0.03971724107706908,-0.35119386518484724,0.08938570819423902
Tennessee,-0.2580698842576662,-0.6029378108763261,0.019448741181306413
