variable,label,coefficient,std_error
ln_y_initial,Log Initial Income,-0.055286009819007526,0.003617664079085713
log_s_k,Log Investment Share,0.019724899416364277,0.006845585383138751
log_n_gd,Log(n + g + d),-0.04961397252413976,0.018201174732330523
log_hcap,Log Human Capital,0.009081150621468855,0.013698723529666038
gov_cons,Gov. Consumption Share,-0.10279531742607441,0.044108087076370366
