variable,label,se_naive_lm,se_feols_iid,se_feols_cluster
ln_y_initial,Log Initial Income,0.003617664079085713,0.0038799999884037797,0.0037443566130163
log_s_k,Log Investment Share,0.006845585383138751,0.007341994896858452,0.007582677453346835
log_n_gd,Log(n + g + d),0.018201174732330523,0.01952103794231373,0.02216773289117336
log_hcap,Log Human Capital,0.013698723529666038,0.01469209024782745,0.014563653533040323
gov_cons,Gov. Consumption Share,0.044108087076370366,0.04730659718634844,0.04639822282702499
