method,RMSE,MAB,MedAB,horizon,published_RMSE
SC,0.008592786900136292,0.006816942870123419,0.005075025443371156,1,0.0089
DSC,0.00858843886405403,0.00684464225815104,0.005132739390616425,1,0.0087
SDID (i),0.006617266527714127,0.003734995294948693,0.0016426878344642706,1,0.0067
MASC,0.007956755294413986,0.006228164519908772,0.004517494332895916,1,0.008
ASCM,0.00861476257870295,0.0068491628937730805,0.005128594574815071,1,0.0086
SDID (ii),0.013261737996207985,0.010885285431714369,0.010186144604149485,4,0.0134
SDID (iii),0.013294410909822682,0.010953181723422507,0.010183030635234383,4,0.0134
