method,RMSE,MAB,MedAB,horizon
SC,0.01454443366914223,0.012999918214135906,0.01227850789479551,4
DSC,0.014618482571642801,0.013036836875787236,0.012499794520245466,4
SDID (i),0.013246382387195114,0.010863999700097781,0.010140725016455868,4
SDID (ii),0.013261737996207985,0.010885285431714369,0.010186144604149485,4
SDID (iii),0.013294410909822682,0.010953181723422507,0.010183030635234383,4
MASC,0.013986998716356672,0.01240732278424147,0.011296138185347249,4
ASCM,0.0145599560852668,0.013019989956316697,0.012315437198494844,4
