setting,loss_2018Q4,loss_2019Q4,pre_rmse
default (backend='auto'),3.038816620781942,4.172083489722339,0.005589460308415354
w_constr='simplex',3.0388176594837004,4.1720846103602325,0.005589460958081585
w_constr='ols',3.3726804796051892,5.160632199099574,0.004261526840964039
w_constr='ridge',3.3716646482633674,5.158293296561839,0.0042615303056960105
w_constr='lasso',2.9686802545011046,4.061155311763137,0.005425488544447862
