setting,loss_2018Q4,loss_2019Q4,pre_rmse,m_hat,phi_hat
"set_f=range(6, 87)  [the paper]",2.7255053829554345,3.827514728264031,0.005990055261467826,10,0.15769222338578223
min_preperiods=None [default],3.191433711994324,4.3250254872474745,0.005900995468983907,5,0.0988682449510191
min_preperiods=43   [ceil(T0/2)],3.1912852620300134,4.324876721248488,0.0059004860210938445,5,0.09877207624769062
