setting,loss_2018Q4,loss_2019Q4
"set_f=range(6, 87)  [the paper]",2.7255053829554345,3.8275147282640196
min_preperiods=None [default],3.191433711994324,4.3250254872474745
min_preperiods=43   [ceil(T0/2)],3.191285262030025,4.3248767212485
