method,RMSE,MAB,MedAB,horizon
SC,0.008592786900136292,0.006816942870123419,0.005075025443371156,1
DSC,0.00858843886405403,0.00684464225815104,0.005132739390616425,1
SDID (i),0.006617266527714127,0.003734995294948693,0.0016426878344642706,1
SDID (ii),0.006582452841220368,0.003841744472450624,0.0017054111450914714,1
SDID (iii),0.0065983470657692425,0.0038732861252296622,0.0020346534478411908,1
MASC,0.007956755294413986,0.006228164519908772,0.004517494332895916,1
ASCM,0.00861476257870295,0.0068491628937730805,0.005128594574815071,1
