event_time,tau,ci_lower,ci_upper
-86.0,-0.0003246554918056588,-0.1352324001081262,0.1345830891245149
-85.0,-0.0012305214749158523,-0.13252355887088413,0.13006251592105245
-84.0,0.0004130776707861935,-0.12190770427892791,0.12273385962050029
-83.0,-0.0008902903933632397,-0.13260031353419405,0.13081973274746755
-82.0,0.0012345419519428514,-0.1184819006409145,0.1209509845448002
-81.0,-0.0019504240156658498,-0.11606336259593283,0.11216251456460113
-80.0,-0.0028235352515691876,-0.11795958657277707,0.1123125160696387
-79.0,-0.0003163811983543305,-0.1150712648699295,0.11443850247322082
-78.0,0.00677702843789503,-0.10010704438725006,0.11366110126304012
-77.0,0.0038974827835560055,-0.09966680740134334,0.10746177296845535
-76.0,0.00023209389568432104,-0.10217550593630975,0.1026396937276784
-75.0,0.0012261914545545483,-0.09404855517460982,0.09650093808371892
-74.0,0.0021946551136388798,-0.10051847904357807,0.10490778927085583
-73.0,0.004116669894356245,-0.09004324202143853,0.09827658181015102
-72.0,0.005542390321937235,-0.07691392522568004,0.08799870586955451
-71.0,0.008227872215093551,-0.09501582829435778,0.11147157272454489
-70.0,0.006998323377432739,-0.07222009028772283,0.08621673704258831
-69.0,0.0007038216386352908,-0.07747133369799428,0.07887897697526486
-68.0,0.0030390487360755225,-0.06837685613056907,0.07445495360272011
-67.0,0.004546307387175319,-0.07141777882215915,0.08051039359650979
-66.0,0.0011221069656602856,-0.08374453372732019,0.08598874765864076
-65.0,-0.0009262889200612467,-0.07850767120770522,0.07665509336758272
-64.0,-0.005139953798785152,-0.08780915273883846,0.07752924514126816
-63.0,-0.01139318648314211,-0.08855138557534463,0.06576501260906041
-62.0,-0.003644107547865455,-0.08321259016129212,0.07592437506556121
-61.0,0.0011015847385948963,-0.07267894798225512,0.07488211745944491
-60.0,0.007914714877682805,-0.0721312524911689,0.08796068224653451
-59.0,0.007383325641489191,-0.07205793322414993,0.08682458450712831
-58.0,0.0023963733067466075,-0.078648740538005,0.08344148715149821
-57.0,0.0011959840207865224,-0.08556904215474465,0.08796101019631769
-56.0,0.0040350891775079445,-0.07598608079299608,0.08405625914801197
-55.0,0.00702891823041607,-0.07386141426212559,0.08791925072295773
-54.0,0.01112328405432092,-0.06290399838579186,0.0851505664944337
-53.0,0.015534129343713371,-0.06132869156626597,0.09239695025369271
-52.0,0.016154645528424327,-0.059968051444337186,0.09227734250118584
-51.0,0.013375051536678229,-0.05815087475441187,0.08490097782776833
-50.0,0.007223837921860099,-0.06332130290810117,0.07776897875182137
-49.0,0.0036320576255137182,-0.06633342995738585,0.07359754520841329
-48.0,-0.0011643800214728994,-0.06615997292323943,0.06383121288029363
-47.0,-0.004760012453078388,-0.06711539783892786,0.05759537293277109
-46.0,-0.004319811596630974,-0.0653126719460817,0.05667304875281976
-45.0,-0.0025697656301251204,-0.05802192763653292,0.05288239637628268
-44.0,0.00029663770123622424,-0.058985555608893236,0.059578831011365685
-43.0,0.007362145617737903,-0.047715398722101746,0.06243968995757755
-42.0,0.0025894506175789256,-0.054974963842127716,0.06015386507728557
-41.0,5.2259912682317555e-05,-0.05516881780767322,0.05527333763303786
-40.0,-0.0036703234334736767,-0.05789834675389458,0.05055769988694723
-39.0,-0.009356219532336174,-0.06651014432848368,0.04779770526381134
-38.0,-0.002535868076253056,-0.051438647163111736,0.046366911010605624
-37.0,0.0023178509111358436,-0.055045814229988596,0.05968151605226028
-36.0,0.00791677422258752,-0.05800912042016944,0.07384266886534448
-35.0,0.009689684447840463,-0.05984185237163289,0.07922122126731382
-34.0,0.014687932455194452,-0.055650391003037786,0.08502625591342669
-33.0,0.006526560433103845,-0.0690640789083862,0.08211719977459389
-32.0,-0.007053630377923059,-0.0872085737512738,0.07310131299542769
-31.0,-0.008261263864888513,-0.0974112288053327,0.08088870107555568
-30.0,0.0028975556776550393,-0.07019747791337295,0.07599258926868303
-29.0,0.0014444232703579307,-0.06778304224855156,0.07067188878926742
-28.0,0.001793453831883396,-0.079272559481309,0.08285946714507579
-27.0,-0.0016561085987359392,-0.08758982861836452,0.08427761142089264
