spec,method,loss_2018Q4,loss_2019Q4,pre_rmse,v_agreement
outcomes only,--,2.801184164375953,3.937367177909085,0.006049489178711517,
SDID covariates={'adjust': ...},adjust,3.6079604263366427,4.850373521078922,0.12866994301092807,
SDID covariates={'match': ...},match,1.8491282016849409,2.9277149921273002,0.0119007761693331,
SDID covariates={'optimized': ...},optimized,3.1105822071393954,4.563613358148727,0.024947067270082574,
"VanillaSC(covariates=..., backend='mscmt')",bilevel V,1.317344626085576,2.4226315916180017,0.009661843029283905,0.055299164511229765
