solver,loss_2018Q4,loss_2019Q4,rmse_pre
"VanillaSC, backend='auto'",3.038816620781942,4.172083489722339,0.005589460308415354
"VanillaSC, backend='outcome-only'",3.038816620781942,4.172083489722339,0.005589460308415354
"VanillaSC, w_constr='simplex'",3.0388176594837004,4.1720846103602325,0.005589460958081585
"TSSC, method='SC'",3.0387474137871298,4.172002785182966,0.006
"R synthdid (Frank-Wolfe, published)",3.06,4.2,
