multiple,zeta,loss_2018Q4,loss_2019Q4,pre_rmse
0.0,0.0,2.801184164375953,3.9373671779090955,0.006049489178711517
0.05,0.0006212362863246604,2.800900960668823,3.9374097650079207,0.006049707363998227
0.1,0.0012424725726493209,2.8001155424622395,3.9375679115792037,0.0060503472064285775
0.15,0.0018637088589739809,2.7966010864301563,3.9349805549455494,0.006055508156584499
0.2,0.0024849451452986417,2.7910117533309355,3.9302222009580943,0.006065261326549307
0.3,0.0037274177179479617,2.7777331386138417,3.915097040170129,0.0060776260280759236
0.4,0.0049698902905972835,2.756463278601501,3.88414299267143,0.006115720029892233
0.5,0.0062123628632466035,2.742369012350326,3.8629414646771885,0.006147465492040329
0.65,0.008076071722220584,2.71985980481701,3.829959827415835,0.006188982851928548
0.8,0.009939780581194567,2.697435608853888,3.7973578642596815,0.0062220322978495425
1.0,0.012424725726493207,2.6694335828849116,3.7628757995171567,0.00626402710395412
1.25,0.01553090715811651,2.6230325148328184,3.7202872957834696,0.006354941194777347
1.5,0.01863708858973981,2.581045364159568,3.6769539366430957,0.00651024494413105
1.75,0.02174327002136311,2.5395967223994456,3.632496724327444,0.006686821277228873
2.0,0.024849451452986414,2.5002875573888197,3.588728063029106,0.006872857035790256
