m,loss_2018Q4,pre_rmse,phi_hat
1,2.8902808879961936,0.005629683196318764,0.03808349386154999
2,3.016771612018471,0.0055943163195674205,0.005311186593399009
3,2.9768510962590646,0.005661318316789711,0.061974057623627725
4,3.094944710262154,0.005778398061456765,0.08790295732698829
5,3.1809999854546964,0.005866104098480295,0.09210907894627562
6,3.2347718339981233,0.00592711399591575,0.08847560796547688
7,3.073418203550954,0.005667574269703944,0.04639922361018229
8,2.9619143268432016,0.005833287174797292,0.11266408254265155
9,2.9558594659288726,0.005963157715252456,0.12382067296764174
10,2.725505382955445,0.005990055261467829,0.15769222338578254
