spec,method,loss_2018Q4,loss_2019Q4
outcomes only,--,2.801184164375953,3.9373671779090955
SDID covariates={'adjust': ...},adjust,3.6079604263366427,4.850373521078922
SDID covariates={'match': ...},match,1.8491282016849409,2.9277149921273002
SDID covariates={'optimized': ...},optimized,3.110582207139384,4.563613358148716
"VanillaSC(covariates=..., backend='mscmt')",bilevel V,1.317344626085576,2.4226315916180017
