variant,att,att_as_reported,loss_2018Q4,rmse_pre,intercept,recommended
SC,-0.030387474137871295,-0.03,3.0387474137871298,0.006,,True
MSCa,-0.0298873295228968,-0.03,2.9887329522896797,0.006,0.0024097700058623604,False
MSCb,-0.030405571606350434,-0.03,3.0405571606350437,0.006,,False
MSCc,-0.030207719511419817,-0.03,3.020771951141982,0.006,0.002817354212172567,False
