period,beta_nls,se_nls,pvalue_nls,speed_nls,halflife_nls,n,lambda_ols,se_lambda,pvalue,beta_ols,speed_ols,halflife_ols,diff
1960-2000,-.0040240194904574,.0013487475298306,.0037528572751789,-.4024019490457399,,84,.0043659723257838,.001584291312294,.0072128515353084,-.0040240193820598,-.40240193820598,,1.0839760e-10
1960-2019,-.0005595547028161,.0012488440955056,.6552928685982642,-.05595547028161,,84,.0005688936843243,.0012907612073726,.6605590092857581,-.0005595547029211,-.05595547029211,,1.0499999e-13
1980-2019,-.0011049926214998,.0013213598659676,.4054422801675848,-.11049926214998,,84,.0011291480319779,.0013795482909155,.4154490743838679,-.0011049926219722,-.11049926219722,,4.7240011e-13
1990-2019,.000081259313917,.0013985790208595,.9538092620072333,.0081259313917,8530.064396900283,84,-.0000811636441561,.0013952871231253,.9537548568828798,.000081259313595,.0081259313595,8530.064430701708,3.2200000e-13
1995-2019,.0018176909620543,.0014579566000559,.2160428857564443,.18176909620543,381.33389835232,84,-.0017786132663725,.0013957212173211,.2061451420980332,.0018176909624173,.18176909624173,381.3338982761662,3.6299999e-13
2000-2019,.0036462270873291,.0015739167049665,.0230180138552929,.36462270873291,190.0998385341059,84,-.0035227916988008,.0014685696716084,.0187180918650562,.0036462270874659,.36462270874659,190.0998385269737,1.3680029e-13
