period,method,beta_nls,se_nls,speed_pct,halflife,beta_ols,n
1960-2000,NLS,-.0040240193841973,.0013487475713662,-.40240193841973,,.0043659723257838,84
1960-2019,NLS,-.0005595547280534,.0012488439140777,-.05595547280534,,.0005688936843243,84
1980-2019,NLS,.0001509839471725,.0013540791240378,.01509839471725,4604.049787413063,-.0001505402707906,101
1990-2019,NLS,.002038144088981,.0014673851115475,.2038144088981,349.8903771575713,-.0019790800291916,121
1995-2019,NLS,.0029833944690554,.0014764232821523,.29833944690554,240.405354214738,-.0028790909670779,123
2000-2019,NLS,.0042508311043291,.0015555077430011,.42508311043291,169.388284622965,-.0040836998534513,124
