period,beta_nls,se_nls,pvalue_nls,speed_nls,halflife_nls,n
1960-2000,-.0040240194904574,.0013487475298306,.0037528572751789,-.4024019490457399,,84
1960-2019,-.0005595547028161,.0012488440955056,.6552928685982642,-.05595547028161,,84
1980-2019,-.0011049926214998,.0013213598659676,.4054422801675848,-.11049926214998,,84
1990-2019,.000081259313917,.0013985790208595,.9538092620072333,.0081259313917,8530.064396900283,84
1995-2019,.0018176909620543,.0014579566000559,.2160428857564443,.18176909620543,381.33389835232,84
2000-2019,.0036462270873291,.0015739167049665,.0230180138552929,.36462270873291,190.0998385341059,84
